interacting_pair,sender_cell_type,receiver_cell_type,eligible_datasets,supporting_datasets,rank_sum,ligand_deg,receptor_deg,datasets,prevalence,activity,time,cluster,activity_cluster_0,eligible_cluster_0,activity_cluster_2,eligible_cluster_2,testable_other_clusters,max_other_activity,specificity
CD44_TYROBP,B cell,Mast cell,2,2.0,1.7774901795735127,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.8887450897867564,I-II,1,0.21189746009651814,8,0.0,4.0,2,0.21189746009651814,0.6768476296902383
PTPRC_MRC1,B cell,cDC2,2,2.0,1.8515502244668913,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.9257751122334457,I-II,1,0.25041149352531283,8,0.0,4.0,2,0.25041149352531283,0.6753636187081329
PTPRC_MRC1,NK cell,cDC2,2,2.0,1.947509820426487,True,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.9737549102132435,I-II,1,0.3008494048349087,8,0.0,4.0,2,0.3008494048349087,0.6729055053783348
PTPRC_MRC1,cDC2,T cell regulatory,2,2.0,1.4954615600448933,True,False,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.7477307800224466,I-II,1,0.07506397497867501,8,0.0,4.0,2,0.07506397497867501,0.6726668050437716
PLAU_PLAUR,Mast cell,Macrophage,2,2.0,1.462969977553311,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.7314849887766555,I-II,1,0.06054520898493034,8,0.0,4.0,2,0.06054520898493034,0.6709397797917251
PTPRC_MRC1,Macrophage alveolar,cDC2,2,2.0,1.716989337822671,True,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.8584946689113355,I-II,1,0.18835473767711663,7,0.0,4.0,2,0.18835473767711663,0.6701399312342189
PTPRC_MRC1,T cell CD4,cDC2,2,2.0,1.9356832210998878,True,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.9678416105499439,I-II,1,0.29905178301263785,8,0.0,4.0,2,0.29905178301263785,0.6687898275373061
PVR_CD96,Macrophage alveolar,T cell CD8 effector memory,2,2.0,1.4537107182940516,True,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.7268553591470258,I-II,1,0.06870709614525367,7,0.0,4.0,2,0.06870709614525367,0.6581482630017721
PTPRC_MRC1,Plasma cell,Macrophage alveolar,2,2.0,1.7495650953984287,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.8747825476992144,I-II,1,0.0,7,0.224151758220075,4.0,2,0.224151758220075,0.6506307894791394
PTPRC_CD22,T cell CD4 dividing,Macrophage,2,2.0,1.6953212682379348,True,False,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.8476606341189674,I-II,1,0.18720498476340472,8,0.19725738396624473,3.0,2,0.19725738396624473,0.6504032501527227
PTPRC_CD22,T cell CD8 effector memory,B cell,2,2.0,1.9269921436588104,True,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.9634960718294052,I-II,1,0.3141831634434966,8,0.0,4.0,2,0.3141831634434966,0.6493129083859086
CD44_TYROBP,Mast cell,T cell CD4 dividing,2,2.0,1.631625280583614,True,False,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.815812640291807,I-II,1,0.1667878704428271,8,0.0,3.0,2,0.1667878704428271,0.6490247698489799
PVR_CD96,myeloid dividing,T cell CD8 effector memory,2,2.0,1.4122895622895624,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.7061447811447812,I-II,1,0.05903468865510378,8,0.0,2.0,2,0.05903468865510378,0.6471100924896774
