interacting_pair,sender_cell_type,receiver_cell_type,eligible_datasets,supporting_datasets,rank_sum,ligand_deg,receptor_deg,datasets,prevalence,activity,time,cluster,activity_cluster_1,eligible_cluster_1,testable_other_clusters,max_other_activity,specificity
THY1_integrin_aXb2_complex,Endothelial cell venous,cDC2,5,5.0,1.0898866034786312,False,False,Hu_Zhang_2023_NSCLC;Kim_Lee_2020;Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020;Zilionis_Klein_2019,1.0,0.21797732069572623,III-IV,0,0.0,5,1,0.0,0.21797732069572623
CD320_JAML,Endothelial cell venous,T cell CD8 naive,4,2.0,0.871248947567306,True,False,Kim_Lee_2020;Maynard_Bivona_2020,0.5,0.2178122368918265,III-IV,0,0.0,2,1,0.0,0.2178122368918265
HBEGF_EGFR,Endothelial cell venous,Pericyte,3,2.0,0.6529388899198212,True,False,Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020,0.6666666666666666,0.2176462966399404,III-IV,0,0.0,2,1,0.0,0.2176462966399404
VEGFA_FLT1_complex,Pericyte,Endothelial cell venous,3,3.0,0.6518407016154859,False,False,Hu_Zhang_2023_NSCLC;Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020,1.0,0.21728023387182863,III-IV,0,0.0,2,1,0.0,0.21728023387182863
CD52_SIGLEC10,T cell regulatory,Monocyte classical,5,3.0,1.592158824940512,True,True,Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020;Zilionis_Klein_2019,0.6,0.31843176498810244,III-IV,0,0.101889338731444,6,1,0.101889338731444,0.21654242625665843
CXCL16_CXCR6,Monocyte classical,T cell CD8 naive,4,2.0,0.8651441272416118,True,False,Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020,0.5,0.21628603181040296,III-IV,0,0.0,3,1,0.0,0.21628603181040296
THBS1_CD36,Pericyte,cDC2,3,2.0,1.1486020383270539,True,False,Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020,0.6666666666666666,0.38286734610901796,III-IV,0,0.16661863988144246,2,1,0.16661863988144246,0.2162487062275755
CD99_PILRA,T cell CD4 dividing,Macrophage alveolar,2,2.0,1.3811596037373963,True,True,Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020,1.0,0.6905798018686982,III-IV,0,0.4751844473341384,3,1,0.4751844473341384,0.21539535453455977
PODXL_SELL,Endothelial cell venous,myeloid dividing,4,2.0,0.8604057767195084,True,False,Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020,0.5,0.2151014441798771,III-IV,0,0.0,2,1,0.0,0.2151014441798771
CXCL16_CXCR6,cDC2,T cell CD4 dividing,2,2.0,1.3950737012395051,True,True,Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020,1.0,0.6975368506197526,III-IV,0,0.48307265874343885,3,1,0.48307265874343885,0.21446419187631371
ANGPT2_TEK,Pericyte,Endothelial cell venous,3,2.0,0.6416397465051396,True,True,Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020,0.6666666666666666,0.21387991550171317,III-IV,0,0.0,2,1,0.0,0.21387991550171317
THY1_integrin_aXb2_complex,Endothelial cell venous,Macrophage,5,4.0,1.068691598396841,False,False,Hu_Zhang_2023_NSCLC;Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020;Zilionis_Klein_2019,0.8,0.2137383196793682,III-IV,0,0.0,5,1,0.0,0.2137383196793682
CD320_JAML,Endothelial cell venous,T cell CD8 terminally exhausted,4,2.0,0.8543661040433304,True,False,Kim_Lee_2020;Maynard_Bivona_2020,0.5,0.2135915260108326,III-IV,0,0.0,3,1,0.0,0.2135915260108326
ANXA1_FPR1,T cell CD8 dividing,Macrophage alveolar,4,2.0,1.3776515957095605,True,True,Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020,0.5,0.34441289892739013,III-IV,0,0.13105823590756902,3,1,0.13105823590756902,0.21335466301982112
CD52_SIGLEC10,Mast cell,Macrophage,5,3.0,1.8312280056786678,True,True,Hu_Zhang_2023_NSCLC;Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020,0.6,0.36624560113573357,III-IV,0,0.1533460993657983,6,1,0.1533460993657983,0.21289950176993527
VEGFA_KDR,Pericyte,Endothelial cell venous,3,2.0,0.6294654864691864,False,True,Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020,0.6666666666666666,0.20982182882306213,III-IV,0,0.0,2,1,0.0,0.20982182882306213
LTA_TNFRSF1B,T cell CD4 dividing,Macrophage,2,2.0,0.7637499736475152,False,True,Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020,1.0,0.3818749868237576,III-IV,0,0.1720995251789498,3,1,0.1720995251789498,0.2097754616448078
VEGFA_FLT1_complex,Macrophage,Endothelial cell venous,5,5.0,1.0391646470718623,True,False,Hu_Zhang_2023_NSCLC;Kim_Lee_2020;Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020;Zilionis_Klein_2019,1.0,0.20783292941437245,III-IV,0,0.0,5,1,0.0,0.20783292941437245
CD320_JAML,Endothelial cell venous,T cell CD8 dividing,4,2.0,0.8261285890440928,True,True,Kim_Lee_2020;Maynard_Bivona_2020,0.5,0.2065321472610232,III-IV,0,0.0,3,1,0.0,0.2065321472610232
CXCL16_CXCR6,Macrophage,NK cell,5,3.0,1.4555198192465189,True,False,Hu_Zhang_2023_NSCLC;Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020,0.6,0.29110396384930376,III-IV,0,0.08506056527590848,5,1,0.08506056527590848,0.20604339857339526
ANXA1_FPR1,T cell CD4 dividing,cDC2,2,2.0,1.3560217512830475,False,True,Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020,1.0,0.6780108756415237,III-IV,0,0.4720411443593293,3,1,0.4720411443593293,0.20596973128219442
VEGFA_NRP1,Macrophage alveolar,Endothelial cell venous,5,4.0,1.0275298824447947,False,True,Hu_Zhang_2023_NSCLC;Kim_Lee_2020;Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020,0.8,0.20550597648895894,III-IV,0,0.0,3,1,0.0,0.20550597648895894
PTPRC_CD22,T cell CD4 dividing,Mast cell,2,2.0,1.628831477539227,True,True,Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020,1.0,0.8144157387696135,III-IV,0,0.6098810738231434,3,1,0.6098810738231434,0.2045346649464701
VEGFA_NRP2,Monocyte classical,Endothelial cell venous,5,3.0,1.019440146703122,True,False,Hu_Zhang_2023_NSCLC;Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020,0.6,0.2038880293406244,III-IV,0,0.0,5,1,0.0,0.2038880293406244
CD52_SIGLEC10,T cell CD4 dividing,Macrophage,2,2.0,1.3496907405592657,True,True,Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020,1.0,0.6748453702796329,III-IV,0,0.47181923128709197,3,1,0.47181923128709197,0.2030261389925409
VEGFA_NRP2,cDC2,Endothelial cell venous,5,3.0,1.0137747941862598,True,False,Hu_Zhang_2023_NSCLC;Kim_Lee_2020;Maynard_Bivona_2020,0.6,0.20275495883725198,III-IV,0,0.0,5,1,0.0,0.20275495883725198
