dataset,cell_type
Deng_Liu_LUAD_2024,NK cell dividing
Deng_Liu_LUAD_2024,Neutrophils
Deng_Liu_LUAD_2024,Pericyte
Deng_Liu_LUAD_2024,Plasma cell
Deng_Liu_LUAD_2024,Plasma cell dividing
Deng_Liu_LUAD_2024,Smooth muscle cell
Deng_Liu_LUAD_2024,T cell CD4
Deng_Liu_LUAD_2024,T cell CD4 dividing
Deng_Liu_LUAD_2024,T cell CD8 activated
Deng_Liu_LUAD_2024,T cell CD8 dividing
Deng_Liu_LUAD_2024,T cell CD8 effector memory
Deng_Liu_LUAD_2024,T cell CD8 terminally exhausted
Deng_Liu_LUAD_2024,T cell NK-like
Deng_Liu_LUAD_2024,T cell regulatory
Deng_Liu_LUAD_2024,Tumor AT2_LUAD
Deng_Liu_LUAD_2024,Tumor LUAD
Deng_Liu_LUAD_2024,Tumor LUAD_AT2_Club
Deng_Liu_LUAD_2024,Tumor LUSC_LUAD
Deng_Liu_LUAD_2024,Tumor LUSC_LUAD_mitotic
Deng_Liu_LUAD_2024,cDC1
Deng_Liu_LUAD_2024,cDC2
Deng_Liu_LUAD_2024,myeloid dividing
Deng_Liu_LUAD_2024,pDC
Hu_Zhang_2023_NSCLC,AT2
Hu_Zhang_2023_NSCLC,AT2_AT1
Hu_Zhang_2023_NSCLC,B cell
Hu_Zhang_2023_NSCLC,B cell dividing
Hu_Zhang_2023_NSCLC,Ciliated
Hu_Zhang_2023_NSCLC,DC mature
Hu_Zhang_2023_NSCLC,Endothelial cell lymphatic
Hu_Zhang_2023_NSCLC,Endothelial cell venous
Hu_Zhang_2023_NSCLC,Fibroblast peribronchial
Hu_Zhang_2023_NSCLC,Macrophage
Hu_Zhang_2023_NSCLC,Macrophage alveolar
Hu_Zhang_2023_NSCLC,Mast cell
Hu_Zhang_2023_NSCLC,Monocyte classical
Hu_Zhang_2023_NSCLC,Monocyte non-classical
Hu_Zhang_2023_NSCLC,NK cell
Hu_Zhang_2023_NSCLC,NK cell dividing
Hu_Zhang_2023_NSCLC,Neutrophils
Hu_Zhang_2023_NSCLC,Pericyte
Hu_Zhang_2023_NSCLC,Plasma cell
Hu_Zhang_2023_NSCLC,Plasma cell dividing
Hu_Zhang_2023_NSCLC,T cell CD4
Hu_Zhang_2023_NSCLC,T cell CD4 dividing
Hu_Zhang_2023_NSCLC,T cell CD8 activated
Hu_Zhang_2023_NSCLC,T cell CD8 dividing
Hu_Zhang_2023_NSCLC,T cell CD8 effector memory
Hu_Zhang_2023_NSCLC,T cell CD8 naive
Hu_Zhang_2023_NSCLC,T cell CD8 terminally exhausted
Hu_Zhang_2023_NSCLC,T cell NK-like
Hu_Zhang_2023_NSCLC,T cell regulatory
Hu_Zhang_2023_NSCLC,Tumor AT2_LUAD
Hu_Zhang_2023_NSCLC,Tumor LUAD_AT2_Club
Hu_Zhang_2023_NSCLC,Tumor LUAD_mitotic_LUSC
Hu_Zhang_2023_NSCLC,Tumor LUSC2
Hu_Zhang_2023_NSCLC,Tumor LUSC_LUAD
Hu_Zhang_2023_NSCLC,Tumor NSCLC_mixed
Hu_Zhang_2023_NSCLC,cDC1
Hu_Zhang_2023_NSCLC,cDC2
Hu_Zhang_2023_NSCLC,myeloid dividing
Hu_Zhang_2023_NSCLC,pDC
Lambrechts_Thienpont_2018_6653,AT2
Lambrechts_Thienpont_2018_6653,B cell
Lambrechts_Thienpont_2018_6653,B cell dividing
Lambrechts_Thienpont_2018_6653,Endothelial cell venous
Lambrechts_Thienpont_2018_6653,Macrophage
Lambrechts_Thienpont_2018_6653,Mast cell
Lambrechts_Thienpont_2018_6653,Monocyte classical
Lambrechts_Thienpont_2018_6653,NK cell
Lambrechts_Thienpont_2018_6653,Plasma cell
Lambrechts_Thienpont_2018_6653,T cell CD4
Lambrechts_Thienpont_2018_6653,T cell CD8 dividing
Lambrechts_Thienpont_2018_6653,T cell CD8 effector memory
Lambrechts_Thienpont_2018_6653,T cell CD8 naive
Lambrechts_Thienpont_2018_6653,T cell CD8 terminally exhausted
Lambrechts_Thienpont_2018_6653,T cell NK-like
Lambrechts_Thienpont_2018_6653,T cell regulatory
Lambrechts_Thienpont_2018_6653,Tumor AT2_LUAD
Lambrechts_Thienpont_2018_6653,Tumor LUAD
Lambrechts_Thienpont_2018_6653,Tumor LUAD_AT2_Club
Lambrechts_Thienpont_2018_6653,Tumor LUSC_LUAD
Lambrechts_Thienpont_2018_6653,Tumor LUSC_LUAD_mitotic
Lambrechts_Thienpont_2018_6653,cDC2
Maynard_Bivona_2020,B cell
Maynard_Bivona_2020,Ciliated
Maynard_Bivona_2020,Endothelial cell venous
Maynard_Bivona_2020,Macrophage
Maynard_Bivona_2020,Mast cell
Maynard_Bivona_2020,Monocyte classical
Maynard_Bivona_2020,Neutrophils
Maynard_Bivona_2020,T cell CD4
Maynard_Bivona_2020,T cell CD8 effector memory
Maynard_Bivona_2020,T cell regulatory
Maynard_Bivona_2020,Tumor LUAD_AT2_Club
Maynard_Bivona_2020,Tumor LUSC_LUAD_mitotic
Maynard_Bivona_2020,cDC2
Zilionis_Klein_2019,AT2
Zilionis_Klein_2019,AT2_AT1
Zilionis_Klein_2019,B cell
Zilionis_Klein_2019,Endothelial cell arterial
Zilionis_Klein_2019,Endothelial cell capillary
Zilionis_Klein_2019,Endothelial cell venous
Zilionis_Klein_2019,Fibroblast alveolar
Zilionis_Klein_2019,Fibroblast peribronchial
Zilionis_Klein_2019,Macrophage
Zilionis_Klein_2019,Macrophage alveolar
Zilionis_Klein_2019,Mast cell
Zilionis_Klein_2019,Monocyte classical
Zilionis_Klein_2019,NK cell
Zilionis_Klein_2019,Neutrophils
Zilionis_Klein_2019,Plasma cell
Zilionis_Klein_2019,T cell CD4
Zilionis_Klein_2019,T cell CD8 activated
Zilionis_Klein_2019,T cell CD8 effector memory
Zilionis_Klein_2019,T cell regulatory
Zilionis_Klein_2019,Tumor AT2_LUAD
Zilionis_Klein_2019,Tumor LUAD
Zilionis_Klein_2019,Tumor LUAD_mitotic
Zilionis_Klein_2019,Tumor NSCLC_mixed
Zilionis_Klein_2019,cDC2
Zilionis_Klein_2019,pDC
