interacting_pair,best_sender_cell_type,best_receiver_cell_type,supporting_datasets,eligible_datasets,prevalence,activity,ligand_deg,receptor_deg,datasets,time,cluster,activity_cluster_0,eligible_cluster_0,testable_other_clusters,max_other_activity,specificity
COL3A1_integrin_a1b1_complex,Fibroblast peribronchial,Pericyte,2.0,2,1.0,0.9991518119335595,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.33311695337011793,3,1,0.33311695337011793,0.6660348585634416
COL6A2_integrin_a11b1_complex,Pericyte,Fibroblast peribronchial,2.0,2,1.0,0.9013885446791594,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.23749504129250965,3,1,0.23749504129250965,0.6638935033866498
FN1_integrin_aVb1_complex,Fibroblast peribronchial,Pericyte,2.0,2,1.0,0.9749941895405323,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.31486890980561866,3,1,0.31486890980561866,0.6601252797349136
COL4A2_integrin_a1b1_complex,Pericyte,Pericyte,2.0,2,1.0,0.9902588498243837,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.33107937538317284,3,1,0.33107937538317284,0.6591794744412109
COL18A1_integrin_a1b1_complex,Pericyte,Pericyte,2.0,2,1.0,0.9775469007736514,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.319593205669155,3,1,0.319593205669155,0.6579536951044964
COL4A1_integrin_a1b1_complex,Pericyte,Pericyte,2.0,2,1.0,0.9869295638333471,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.3302679505211151,3,1,0.3302679505211151,0.656661613312232
COL6A2_integrin_a1b1_complex,Pericyte,Pericyte,2.0,2,1.0,0.976795195245642,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.3215045620108911,3,1,0.3215045620108911,0.6552906332347508
COL5A2_integrin_a1b1_complex,Fibroblast peribronchial,Pericyte,2.0,2,1.0,0.9767601667779162,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.3274189476721122,3,1,0.3274189476721122,0.649341219105804
COL1A2_integrin_a11b1_complex,Pericyte,Fibroblast peribronchial,2.0,2,1.0,0.9716588921214662,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.32420931155108373,3,1,0.32420931155108373,0.6474495805703824
FN1_integrin_aVb5_complex,Fibroblast peribronchial,Pericyte,2.0,2,1.0,0.9576595077400498,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.31144289372137474,3,1,0.31144289372137474,0.6462166140186751
COL4A2_integrin_a11b1_complex,Pericyte,Fibroblast peribronchial,2.0,2,1.0,0.96002154312466,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.3146525298424033,3,1,0.3146525298424033,0.6453690132822567
COL4A1_integrin_a11b1_complex,Pericyte,Fibroblast peribronchial,2.0,2,1.0,0.9521622998330459,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.31120848209455804,3,1,0.31120848209455804,0.6409538177384879
COL6A1_integrin_a1b1_complex,Fibroblast peribronchial,Pericyte,2.0,2,1.0,0.9601942023179019,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.32402899491507087,3,1,0.32402899491507087,0.636165207402831
COL8A1_integrin_a1b1_complex,Fibroblast peribronchial,Pericyte,2.0,2,1.0,0.9480149735782251,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.3124526668830466,3,1,0.3124526668830466,0.6355623066951784
FN1_integrin_a3b1_complex,Fibroblast peribronchial,Pericyte,2.0,2,1.0,0.9278422908127307,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.2952865231346244,3,1,0.2952865231346244,0.6325557676781064
IL1B_IL1_receptor,Monocyte classical,Pericyte,2.0,2,1.0,0.8730128692006542,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.2407948357315446,3,1,0.2407948357315446,0.6322180334691097
OSM_OSMR,Neutrophils,Pericyte,2.0,2,1.0,0.733922379071273,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.10481806051426305,3,1,0.10481806051426305,0.62910431855701
COL1A2_integrin_a2b1_complex,Pericyte,T cell CD8 dividing,2.0,2,1.0,0.9509673352247682,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.3220815752461322,3,1,0.3220815752461322,0.6288857599786359
FN1_integrin_a11b1_complex,Pericyte,Fibroblast peribronchial,2.0,2,1.0,0.9203978360551461,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.2953766814526308,3,1,0.2953766814526308,0.6250211546025153
COL5A1_integrin_a1b1_complex,Fibroblast peribronchial,Pericyte,2.0,2,1.0,0.9507147570298148,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.3257600346207941,3,1,0.3257600346207941,0.6249547224090206
COL3A1_integrin_a11b1_complex,Pericyte,Fibroblast peribronchial,2.0,2,1.0,0.951952453900683,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.32716650438169426,3,1,0.32716650438169426,0.6247859495189887
WNT5B_SFRP2,DC mature,Fibroblast peribronchial,3.0,3,1.0,0.7559377723382757,True,True,Chen_Zhang_2020;Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.13204334365325077,5,1,0.13204334365325077,0.623894428685025
COL1A1_integrin_a11b1_complex,Pericyte,Fibroblast peribronchial,2.0,2,1.0,0.9511702983616539,True,False,Deng_Liu_LUAD_2024;Hu_Zhang_2023_NSCLC,III-IV,1,0.32920408236863935,3,1,0.32920408236863935,0.6219662159930146
