cell_type_adjusted,B cell,B cell dividing,Ciliated,Club_AT2/1_high,DC mature,Endothelial cell arterial,Endothelial cell capillary,Endothelial cell lymphatic,Endothelial cell venous,Fibroblast adventitial,Fibroblast alveolar,Fibroblast peribronchial,Macrophage,Macrophage alveolar,Mast cell,Mesothelial,Monocyte classical,Monocyte non-classical,NK cell,NK cell dividing,Neutrophils,Pericyte,Plasma cell,Plasma cell dividing,Smooth muscle cell,T cell CD4,T cell CD4 dividing,T cell CD8 activated,T cell CD8 dividing,T cell CD8 effector memory,T cell CD8 naive,T cell CD8 terminally exhausted,T cell NK-like,T cell regulatory,Tumor Adeno_Squamous,Tumor EMT_lowProlif,Tumor Evasive_HighProlif,Tumor Evasive_Prolif,Tumor Hypoxic_Prolif,Tumor LUAD_MSLN,Tumor Macrophage_Swallow,Tumor NSCLC_Prolif,Tumor OxPhos_Prolif,Tumor Secretory_LUAD,Tumor TTF1+_Quiescent,cDC1,cDC2,myeloid dividing,pDC,stromal dividing
Macrophage,0.06441635482583787,0.8191307324089244,0.2876562755823652,0.4261815079546789,0.343055705917726,0.8379559278186043,0.8471876612123048,0.6701009423555794,0.6380234991500792,0.30620286237060723,0.30576106527746844,0.00474914889679801,0.0,0.9427885420709047,0.035886134174439636,0.2658379437717112,0.3626483427451843,0.135877244733656,0.3188134337192839,0.0006916091599874455,0.43833638751043946,0.5246470248351541,0.35572869081106173,0.009355852161884814,0.4596194045713001,0.4591079473124728,0.35094356532152976,6.362352343501928e-07,0.24806950936202118,0.0019014495044037982,0.08463911776873394,0.35770365225719664,0.08819382077318792,0.1421591338216589,0.2091907237017936,0.00535356334147764,0.9345737189042143,0.601882478834647,0.6712749683953226,0.4272185709273802,0.001312757631247398,0.5165930125474424,0.36354403898862175,0.06183242975397998,0.00047065725600091744,0.00498141432992052,0.0002988993269052282,3.916940728705171e-05,0.7094844103982757,4.57314244866289e-05
Macrophage alveolar,0.028108410326526438,0.7624153786615541,0.0005774796081820041,0.801917023803308,0.22275888420935178,0.5728637993244416,0.6326918234525257,0.42565275890364196,0.30646059277874443,0.7078898754630657,0.3184794344710995,0.4340172931063402,0.9427885420709047,0.0,0.8446859987294484,0.9254603668800132,0.40895910269927643,0.5483261485619965,0.9508597099562092,0.6168082319759698,0.4482218256492066,0.2675189903804393,0.7543978710833205,0.3482263910458833,0.337583916757788,0.008749130988662434,0.39141804366418087,0.05913582531493524,0.09464659019894615,0.00030546651824235995,0.019903655123954336,0.08298906453431981,0.06710649671292208,0.000249721719464232,0.7243318848325336,0.7200013587885824,0.32062582435948395,0.2941335067352701,0.8265113377800148,0.6311054322670504,0.5528972989215394,0.35789123106301196,0.4270787031969493,0.96009593098168,0.4351408158288016,0.5379102350036644,0.8461869712117867,0.16244600329965123,0.10441242844332284,0.8227137048982401
Mast cell,0.19679363758978666,0.716833154882433,0.08718754800948265,0.8129923822821218,0.1317538301750263,0.07368043784875898,0.9220589858707715,0.898138852347156,0.00014811366138534762,0.924545177578819,0.012432788759553006,0.808653857954999,0.035886134174439636,0.8446859987294484,0.0,0.15161737754225277,0.2364470200639422,0.4119720206075312,0.8123733130703165,0.1115836741937675,0.33538489075804234,0.0005854702129205284,0.25200669600043835,0.08657880132856606,1.7661865159978837e-05,0.02401062660403699,0.2239097014866297,0.0038371577200076116,0.009060286391992798,0.7826152401814261,0.28885784250853985,0.007849156051304611,0.02364222612834375,0.6840614805988902,0.5778547391058206,2.145054347706555e-10,0.40877772881599134,0.0915687774905564,0.5807630788627894,0.6995489810248144,0.01964926768488123,0.18966067317291238,0.17549654660551856,0.8932326844984119,4.011714784395659e-05,0.445409470886405,0.8974991333815077,0.14699449656577757,0.926264240899857,0.10973415608603203
Mesothelial,0.4744181198957504,0.643309464476712,0.8016694256068148,0.7653355582219917,0.29313883895662957,0.8435754579302563,0.7981148728437446,0.5298529640602676,0.25690313894435535,0.9883140234676248,0.44566255528314885,0.9446815082048632,0.2658379437717112,0.9254603668800132,0.15161737754225277,0.0,0.5407468514716085,0.1584042749599311,0.8121528051699959,0.9131738112563176,0.0010086672344102848,0.58236418796627,0.4559520845906636,0.6670524499556487,0.7980596004535311,0.6381353835980851,0.3845026560972219,0.1253463918465317,0.3876550814687589,0.9634690683442807,0.8692234839942111,0.23695409648677657,0.42587328121186163,0.26428036064262,1.4972325236431874e-08,0.28494605336361356,0.7368650666287835,0.5789908477310293,0.69958763945026,0.8115468744993483,0.24280402535735826,0.8158646859573799,0.6510261705154288,0.9035232586973556,0.192354128113743,0.19185456236843576,0.6494905323430127,0.745282931028396,0.8635582853559415,0.6005097647708001
Monocyte classical,0.1369563507951172,0.6822652254942443,0.8865752336090901,0.17474792272281883,0.20922419539605017,0.384542780276362,0.375718772922767,0.7698601191901697,0.4769900344140535,0.671945241057981,0.2754802739489585,0.7098448336473236,0.3626483427451843,0.40895910269927643,0.2364470200639422,0.5407468514716085,0.0,0.442429706588605,0.08200811009663253,0.8712262463984333,0.7706495930768437,0.8266972317603888,0.1539733725486339,0.6380142304193416,0.9883561854312519,0.0005244930264541228,0.22648473790595883,0.029781496759040647,0.17251499450242022,0.27128901472218675,0.0006452995521643483,0.017222143123988603,0.009320714683669283,0.41625856943110623,0.6663823476760997,0.021548425514871974,0.09064091677982203,0.2516284565729071,0.4585763960304691,0.43594241012555884,0.02718164509729692,0.7212740463204973,0.46649085999769657,0.13624674429903824,0.0032980037293350124,0.11104530690848476,0.19399537167118674,0.757810780395816,0.17912018246529712,0.28568470268656515
Monocyte non-classical,0.28125632713657983,0.6211420618496957,4.444657970316232e-08,0.6896496472491483,0.3082883738154276,0.027270959601259484,0.31676867551253907,4.287525953959701e-19,0.3114925094628525,0.8449714522272306,0.593359017307214,0.9196101398925804,0.135877244733656,0.5483261485619965,0.4119720206075312,0.1584042749599311,0.442429706588605,0.0,1.7239491801185826e-14,2.8371984520263657e-05,0.9141781762952818,0.8870546127198993,0.3195639924835392,0.4394942722396784,0.9904635215920834,0.5822825219714227,0.5742327836745861,0.008496676328774154,0.40151798889582335,0.033390689381623095,0.09416850246707294,0.8277808075750646,7.345420803002842e-13,0.09590662707614328,0.8249544079248141,0.145828160199795,0.4379427892857019,0.6046484136210317,0.651418070528967,0.9506148428621864,0.12911392927830764,0.5359350796630645,0.5754852437575224,0.02584391013191515,0.14966887780358368,0.006209427390643173,0.27028799002006426,0.46240697696325694,0.0028242791844922364,0.03530501808720808
NK cell,0.10075264334011606,0.12320665372305371,2.7114290052831774e-05,0.15134701392428684,0.8218092560941215,0.6013691636086511,0.9135829562947265,1.6953802778462466e-07,0.20224940122592608,0.05003785280633998,0.17509694137284867,0.4509136392085409,0.3188134337192839,0.9508597099562092,0.8123733130703165,0.8121528051699959,0.08200811009663253,1.7239491801185826e-14,0.0,0.0031853444484123135,0.3868045502663257,0.9787868509665573,0.06853313132123899,0.2928980054320641,0.1628345680308418,0.1629432220820803,0.12167945133320457,0.21608895402813783,0.2458269208473757,0.7911886084766471,0.937158132619629,0.20788098645054592,6.280630927216654e-07,0.5557816793269064,0.62496193145045,0.5270380200037138,0.9401332350051362,0.9786324967575475,0.20691621066968993,0.4992437722448325,0.1401878096661956,0.22726015487956847,0.8897253930929151,0.6529077289402271,0.21044204563414207,0.5285338625201303,0.5979378221459752,0.3736534366700112,0.8362305324872815,0.8691471927328487
NK cell dividing,0.26508082590273485,0.594185833354464,0.0219780050057932,0.27377748930944085,0.7986473477259317,0.9698354282835076,0.8155502056560392,0.2133612242430998,0.8736839205447539,0.7468424461618016,0.2674702077801069,0.8447301576801395,0.0006916091599874455,0.6168082319759698,0.1115836741937675,0.9131738112563176,0.8712262463984333,2.8371984520263657e-05,0.0031853444484123135,0.0,0.5691573914300927,0.4498256535417545,0.36520128688354053,0.42150315518100895,0.9613608595268096,0.67376528899798,0.11288582863479993,0.013211686618192487,0.12580537219471197,0.18042056869834286,0.1510800736108645,0.7177275903519699,0.019723862010623268,0.6797828995632211,0.685933418163491,0.1039780791267667,0.8282723659621479,2.7300814330636272e-06,0.7353920112910073,0.07511297885052563,0.05492971244335989,0.30114341352335566,0.415440168155817,0.5579063491687847,0.019536126902672406,0.00025668424157072883,4.986976021370105e-05,1.02295304521713e-05,0.006780971394222442,0.0033508628669797055
Neutrophils,0.2836095044332773,0.918638075620869,0.4319456646569082,0.5497375610418039,0.05784969929119283,0.528195185821122,0.5407189267840359,0.4147685652203533,0.15292890132546336,0.6535349194910031,0.3520982491490971,0.6685390170296887,0.43833638751043946,0.4482218256492066,0.33538489075804234,0.0010086672344102848,0.7706495930768437,0.9141781762952818,0.3868045502663257,0.5691573914300927,0.0,0.48058217912770607,0.6471036417298379,0.8113852087365617,0.5325365588460192,0.08470299796415082,0.1945761414047427,0.23369002272722025,0.9741371985322355,0.1429076036094637,0.699981238922547,0.915889915064396,0.41655343592194316,0.20842306982867045,2.0567064738787427e-06,0.4737559907686147,0.465913546656709,0.5056457124598908,0.5871702667818118,0.39295633202529445,0.5589401861338,0.3621448670658533,0.5988932375262456,0.4986563478134229,0.37250287909647983,0.16908269885384528,0.1311659408883535,0.30399110614427705,0.5109211375323505,0.5734655182963627
Pericyte,0.46739322429285296,0.5813738891862559,0.32815046904368883,0.5579323645122521,0.8268054808742589,0.8415196608806899,0.9226867003906339,0.9762444055772739,0.000869083822052831,3.447321850933709e-12,0.1246430764064707,1.5392550651342778e-11,0.5246470248351541,0.2675189903804393,0.0005854702129205284,0.58236418796627,0.8266972317603888,0.8870546127198993,0.9787868509665573,0.4498256535417545,0.48058217912770607,0.0,0.5139349173690508,0.8218684704761079,2.784972587858597e-10,0.11703728135163155,0.7808031234189414,0.2079669710978432,0.7816278236723371,0.339446017546179,0.7042907721304937,0.9147711603874337,0.9814122416742453,0.8236922472235724,0.755158407571012,0.02287495651029411,0.47808231363378684,0.5453959185180921,0.8094924163430373,0.4329600600678237,0.28022373629043473,0.11868334614493097,0.5541990906040867,0.5227772165113458,0.5637806165472352,0.6251854388236321,0.008351433876255308,0.7716529883177116,0.02243893449932857,0.06189106460919292
Plasma cell,0.20032376272031435,0.5949630219760378,0.24218767855233625,0.3240822488213631,0.20877705645943503,0.4537991288776914,0.7179118861792357,0.4539232413362887,0.281741533314495,0.5555253735916201,0.9490681924490475,0.9347471236755611,0.35572869081106173,0.7543978710833205,0.25200669600043835,0.4559520845906636,0.1539733725486339,0.3195639924835392,0.06853313132123899,0.36520128688354053,0.6471036417298379,0.5139349173690508,0.0,0.1814248770249324,0.7717628536538765,0.6826812216811239,0.33145685612941356,0.07831966715903174,0.735868120298924,0.4027879262854978,0.4544553175519866,0.5802117986903466,0.9157536263675966,0.8536046621189474,0.5918020007293201,0.4827421945440253,0.08979534320026057,0.6872672435721673,0.6264373299749675,0.16302311981680434,0.1869510509240874,0.792484615079144,0.41606232582533137,0.4683488689655476,0.07818796046983803,0.9149795589447668,0.05765786584972222,0.4677641981740643,0.5234883715417791,0.7783881774138187
Plasma cell dividing,0.8809492147577908,0.03432285590238176,0.7814972010726915,0.37862467144367934,0.0034019355842003058,0.6546987635737417,0.6959806199793894,0.3598752943863552,0.33311202361404973,0.676154612015887,0.3101203889861099,0.7727535764086924,0.009355852161884814,0.3482263910458833,0.08657880132856606,0.6670524499556487,0.6380142304193416,0.4394942722396784,0.2928980054320641,0.42150315518100895,0.8113852087365617,0.8218684704761079,0.1814248770249324,0.0,0.5639485326003086,0.8622296399912092,0.05509560843601057,0.0029062497008772244,1.6258024772855896e-06,0.1372723980663238,0.035717668953381805,1.3285557873329454e-07,0.0012839026441597624,0.19997032682428903,0.9803894236124334,0.11999233540299091,0.8569173687543559,0.5656535053934038,0.7031940162823636,0.2604287364797191,0.06645905025470886,0.0544279865791601,0.4638517129253406,0.5242184134976596,0.04447288098779167,0.0028646720440577045,0.003415834460503185,0.7112025873599416,0.28679576000257284,0.053413661534898904
Smooth muscle cell,0.6424406527854416,0.572498704236118,0.6344118270660601,0.9546042977146666,0.03416557676510754,0.08790247797804407,0.3889293901609015,0.5869112670649193,4.4671088869819654e-08,0.8427104411791391,0.0004149118153968264,0.3267309300165426,0.4596194045713001,0.337583916757788,1.7661865159978837e-05,0.7980596004535311,0.9883561854312519,0.9904635215920834,0.1628345680308418,0.9613608595268096,0.5325365588460192,2.784972587858597e-10,0.7717628536538765,0.5639485326003086,0.0,0.49101590429707737,0.9507570177025977,0.4942484910882551,0.5721536073084342,0.9543189895645974,0.8852791895597374,0.38218877287719677,0.49151274051311056,0.5093829697440346,0.792794952424891,0.22823761933156694,0.8765217968709786,0.9503980104977356,0.03734897167819327,0.7944461915019674,0.40582167021937576,0.8106755279229895,0.6776570254693626,0.9617397272149001,0.7780227429372567,0.8177882930342445,0.00039437596597132905,0.25246454685465286,0.09311711380126515,0.21468801438799154
T cell CD4,0.0015110365023765743,0.31802570524544255,0.14768803679108378,0.3043254403694403,0.6034477212366512,0.7323789535465307,0.9067174379220516,0.35032602883717534,0.46428715725248854,0.5672714485492064,0.09894826895646186,0.24619113129586626,0.4591079473124728,0.008749130988662434,0.02401062660403699,0.6381353835980851,0.0005244930264541228,0.5822825219714227,0.1629432220820803,0.67376528899798,0.08470299796415082,0.11703728135163155,0.6826812216811239,0.8622296399912092,0.49101590429707737,0.0,0.07851571027685204,0.11186235829009432,0.3706504094339289,0.12937725825083174,0.01303847756159055,0.6693439387592879,0.6361549397494349,0.19705730581604589,0.4597324677239639,0.00669983615931616,0.8626567059033182,0.22953563614937275,0.3548867596615887,0.59792807713348,0.03451413351589425,0.1031516285381976,0.8892078377620837,0.397265713132901,0.0005925197712977806,0.0024812452606609763,0.8626310466251189,0.27217809967847856,0.49542681830269136,0.6062443102589008
T cell CD4 dividing,0.6352182700026221,0.006428158532913757,0.22931128093463357,0.09022486684361689,0.09351593861764353,0.28814961658873617,0.4041882506887463,0.19292433529324432,0.1257439213719475,0.24490323464454536,0.14370501878021544,0.42919363775665426,0.35094356532152976,0.39141804366418087,0.2239097014866297,0.3845026560972219,0.22648473790595883,0.5742327836745861,0.12167945133320457,0.11288582863479993,0.1945761414047427,0.7808031234189414,0.33145685612941356,0.05509560843601057,0.9507570177025977,0.07851571027685204,0.0,0.7481789784869491,0.12269076129249283,0.1651610948297666,0.3874940220496837,0.8021504324387807,0.052076585137964905,2.808786185995542e-08,0.5003873357002476,0.689341261650419,0.6421179139148521,0.63867764005913,0.8525119305148132,0.4944250867012514,0.6214135778352966,0.8253427857662766,0.2855348185475057,0.05294700815903979,0.22748843598450946,0.5885896600375121,0.11617343820027393,0.0033826734866751235,0.0033486682111911175,0.3038635945334399
T cell CD8 activated,0.18493511125355624,0.10185100754299235,0.09189547508965785,0.10859812830208296,0.6314740049231744,0.019460503864027832,0.10453229489177229,0.21333914480107474,0.4702302376609461,0.2625414282767148,0.789292990143254,0.08235312477993925,6.362352343501928e-07,0.05913582531493524,0.0038371577200076116,0.1253463918465317,0.029781496759040647,0.008496676328774154,0.21608895402813783,0.013211686618192487,0.23369002272722025,0.2079669710978432,0.07831966715903174,0.0029062497008772244,0.4942484910882551,0.11186235829009432,0.7481789784869491,0.0,0.0029249481129235565,3.996574029196443e-09,5.138915362187434e-07,0.0030077380460933134,1.7055682481404454e-05,5.6743445931615016e-06,0.4261832374690052,2.6332307063333045e-09,0.10562827966731073,0.08414131825848156,0.1223359845645059,0.425798806414813,4.532047386494093e-11,0.004647017884800582,0.30385539745387985,0.039088768620250756,1.03851386597842e-08,0.0004891972692976101,0.022782428175517032,0.0026864072018138565,0.4568444622057021,0.1949656543750555
T cell CD8 dividing,0.6915650073012907,0.46223300850181237,0.6517297043237132,0.28553067981196284,0.7980701346806329,0.545631563001411,0.9434746059266615,0.43953970080907967,0.26291291440250364,0.636123734099723,0.21372740094584955,0.7783096058702685,0.24806950936202118,0.09464659019894615,0.009060286391992798,0.3876550814687589,0.17251499450242022,0.40151798889582335,0.2458269208473757,0.12580537219471197,0.9741371985322355,0.7816278236723371,0.735868120298924,1.6258024772855896e-06,0.5721536073084342,0.3706504094339289,0.12269076129249283,0.0029249481129235565,0.0,0.5627404223419629,0.14225390994098766,6.340077398339204e-53,0.002480890943783955,0.20903299749443854,0.9628516326724208,0.05947193541974887,0.8052641357656362,2.0274957194929664e-11,0.9098114415429497,0.9086062422087339,0.05046724587255459,0.6424481727204111,0.7577438742592014,0.4460551452956275,0.021818583180516233,0.04653962628270441,0.853761523069882,0.7691420520267491,0.9076864408743768,0.7472365855243338
T cell CD8 effector memory,0.670030608939779,0.1180254460615739,0.007193427289589542,0.01797066298349826,0.22413037939416477,0.4105652827862908,0.304953414144817,0.0816910028640951,0.6737470805016003,0.10002890311229949,0.7761472582824447,0.0328845861600942,0.0019014495044037982,0.00030546651824235995,0.7826152401814261,0.9634690683442807,0.27128901472218675,0.033390689381623095,0.7911886084766471,0.18042056869834286,0.1429076036094637,0.339446017546179,0.4027879262854978,0.1372723980663238,0.9543189895645974,0.12937725825083174,0.1651610948297666,3.996574029196443e-09,0.5627404223419629,0.0,0.3401695099842643,0.558393042469804,0.2725028578205888,1.1212658311608564e-06,0.5405095251517158,0.309962303971875,0.9090774788501197,0.7850042076096004,0.06520504639797921,0.3454415917948686,0.12783617682372825,0.011995905225134405,0.6208707481126721,0.09895656169673447,0.45183828191125314,0.18298327527391028,0.1394133910057562,0.007101835596642359,0.4131716626349776,0.0605991552731312
