stage,cluster,contrast,dataset,status,source_file
III-IV,2,normal-vs-normal,Hu_Zhang_2023_NSCLC,complete,III-IV_Hu_Zhang_2023_NSCLC_normal_cluster_2_tumorall.npy
III-IV,0,tumor-vs-all,Kim_Lee_2020,complete,III-IV_Kim_Lee_2020_cluster_0_tumorall.npy
III-IV,1,tumor-vs-all,Kim_Lee_2020,complete,III-IV_Kim_Lee_2020_cluster_1_tumorall.npy
III-IV,2,tumor-vs-all,Kim_Lee_2020,complete,III-IV_Kim_Lee_2020_cluster_2_tumorall.npy
III-IV,0,normal-vs-normal,Kim_Lee_2020,complete,III-IV_Kim_Lee_2020_normal_cluster_0_tumorall.npy
III-IV,1,normal-vs-normal,Kim_Lee_2020,complete,III-IV_Kim_Lee_2020_normal_cluster_1_tumorall.npy
III-IV,2,normal-vs-normal,Kim_Lee_2020,complete,III-IV_Kim_Lee_2020_normal_cluster_2_tumorall.npy
III-IV,0,tumor-vs-all,Lambrechts_Thienpont_2018_6149v2,complete,III-IV_Lambrechts_Thienpont_2018_6149v2_cluster_0_tumorall.npy
III-IV,0,normal-vs-normal,Lambrechts_Thienpont_2018_6149v2,complete,III-IV_Lambrechts_Thienpont_2018_6149v2_normal_cluster_0_tumorall.npy
III-IV,1,tumor-vs-all,Lambrechts_Thienpont_2018_6653,complete,III-IV_Lambrechts_Thienpont_2018_6653_cluster_1_tumorall.npy
III-IV,1,normal-vs-normal,Lambrechts_Thienpont_2018_6653,complete,III-IV_Lambrechts_Thienpont_2018_6653_normal_cluster_1_tumorall.npy
III-IV,0,tumor-vs-all,Laughney_Massague_2020,complete,III-IV_Laughney_Massague_2020_cluster_0_tumorall.npy
III-IV,0,normal-vs-normal,Laughney_Massague_2020,complete,III-IV_Laughney_Massague_2020_normal_cluster_0_tumorall.npy
III-IV,0,tumor-vs-all,Maynard_Bivona_2020,complete,III-IV_Maynard_Bivona_2020_cluster_0_tumorall.npy
III-IV,1,tumor-vs-all,Maynard_Bivona_2020,complete,III-IV_Maynard_Bivona_2020_cluster_1_tumorall.npy
III-IV,0,normal-vs-normal,Maynard_Bivona_2020,complete,III-IV_Maynard_Bivona_2020_normal_cluster_0_tumorall.npy
III-IV,1,normal-vs-normal,Maynard_Bivona_2020,complete,III-IV_Maynard_Bivona_2020_normal_cluster_1_tumorall.npy
III-IV,0,tumor-vs-all,Trinks_Bishoff_2021_NSCLC,complete,III-IV_Trinks_Bishoff_2021_NSCLC_cluster_0_tumorall.npy
III-IV,1,tumor-vs-all,Trinks_Bishoff_2021_NSCLC,complete,III-IV_Trinks_Bishoff_2021_NSCLC_cluster_1_tumorall.npy
III-IV,0,normal-vs-normal,Trinks_Bishoff_2021_NSCLC,complete,III-IV_Trinks_Bishoff_2021_NSCLC_normal_cluster_0_tumorall.npy
III-IV,1,normal-vs-normal,Trinks_Bishoff_2021_NSCLC,complete,III-IV_Trinks_Bishoff_2021_NSCLC_normal_cluster_1_tumorall.npy
III-IV,0,tumor-vs-all,UKIM-V-2,complete,III-IV_UKIM-V-2_cluster_0_tumorall.npy
III-IV,1,tumor-vs-all,UKIM-V-2,complete,III-IV_UKIM-V-2_cluster_1_tumorall.npy
III-IV,0,normal-vs-normal,UKIM-V-2,complete,III-IV_UKIM-V-2_normal_cluster_0_tumorall.npy
III-IV,1,normal-vs-normal,UKIM-V-2,complete,III-IV_UKIM-V-2_normal_cluster_1_tumorall.npy
III-IV,0,tumor-vs-all,Zilionis_Klein_2019,complete,III-IV_Zilionis_Klein_2019_cluster_0_tumorall.npy
III-IV,1,tumor-vs-all,Zilionis_Klein_2019,complete,III-IV_Zilionis_Klein_2019_cluster_1_tumorall.npy
III-IV,0,normal-vs-normal,Zilionis_Klein_2019,complete,III-IV_Zilionis_Klein_2019_normal_cluster_0_tumorall.npy
III-IV,1,normal-vs-normal,Zilionis_Klein_2019,complete,III-IV_Zilionis_Klein_2019_normal_cluster_1_tumorall.npy
III-IV,0,tumor-vs-all,Zuani_2024_NSCLC,complete,III-IV_Zuani_2024_NSCLC_cluster_0_tumorall.npy
III-IV,0,normal-vs-normal,Zuani_2024_NSCLC,complete,III-IV_Zuani_2024_NSCLC_normal_cluster_0_tumorall.npy
