dataset,cell_type
Zuani_2024_NSCLC,Macrophage
Zuani_2024_NSCLC,Macrophage alveolar
Zuani_2024_NSCLC,Mast cell
Zuani_2024_NSCLC,Monocyte classical
Zuani_2024_NSCLC,Monocyte non-classical
Zuani_2024_NSCLC,NK cell
Zuani_2024_NSCLC,NK cell dividing
Zuani_2024_NSCLC,Neutrophils
Zuani_2024_NSCLC,Plasma cell
Zuani_2024_NSCLC,Plasma cell dividing
Zuani_2024_NSCLC,T cell CD4
Zuani_2024_NSCLC,T cell CD4 dividing
Zuani_2024_NSCLC,T cell CD8 activated
Zuani_2024_NSCLC,T cell CD8 dividing
Zuani_2024_NSCLC,T cell CD8 effector memory
Zuani_2024_NSCLC,T cell CD8 naive
Zuani_2024_NSCLC,T cell CD8 terminally exhausted
Zuani_2024_NSCLC,T cell NK-like
Zuani_2024_NSCLC,T cell regulatory
Zuani_2024_NSCLC,Tumor LAUD_LUSC_AT2
Zuani_2024_NSCLC,Tumor LUAD_AT2_mitotic
Zuani_2024_NSCLC,Tumor LUAD_LUSC
Zuani_2024_NSCLC,Tumor LUAD_LUSC_mitotic
Zuani_2024_NSCLC,Tumor LUAD_LUSC_mitotic_even
Zuani_2024_NSCLC,Tumor LUAD_mainly
Zuani_2024_NSCLC,Tumor LUAD_mainly_AT2_low
Zuani_2024_NSCLC,Tumor LUAD_mainly_AT2_mitotic
Zuani_2024_NSCLC,Tumor LUAD_mitotic
Zuani_2024_NSCLC,cDC1
Zuani_2024_NSCLC,cDC2
Zuani_2024_NSCLC,myeloid dividing
Zuani_2024_NSCLC,pDC
