interacting_pair,sender_cell_type,receiver_cell_type,eligible_datasets,supporting_datasets,rank_sum,ligand_deg,receptor_deg,datasets,prevalence,activity,time,cluster,activity_cluster_0,eligible_cluster_0,activity_cluster_1,eligible_cluster_1,testable_other_clusters,max_other_activity,specificity
CD52_SIGLEC10,cDC1,cDC2,2,2.0,1.1705876337357375,True,True,Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.5852938168678687,I-II,2,0.23809281299511567,7,0.0,1,2,0.23809281299511567,0.3472010038727531
HLA-E_KLRK1,T cell NK-like,T cell NK-like,3,2.0,1.825970663796007,False,True,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2,0.6666666666666666,0.6086568879320023,I-II,2,0.2637290341086245,7,0.0,2,2,0.2637290341086245,0.3449278538233778
HLA-E_KLRK1,T cell CD8 effector memory,T cell NK-like,3,2.0,1.7989228422171883,False,True,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2,0.6666666666666666,0.5996409474057295,I-II,2,0.25754212553940276,7,0.0,2,2,0.25754212553940276,0.34209882186632673
HLA-E_CD94:NKG2A,B cell,T cell NK-like,3,2.0,1.3471163398582053,False,False,Lambrechts_Thienpont_2018_6149v1;Zuani_2024_NSCLC,0.6666666666666666,0.4490387799527351,I-II,2,0.10726043503821281,7,0.0,2,2,0.10726043503821281,0.3417783449145223
HLA-E_CD94:NKG2A,NK cell,T cell NK-like,3,2.0,1.3663350921750257,False,False,Lambrechts_Thienpont_2018_6149v1;Zuani_2024_NSCLC,0.6666666666666666,0.4554450307250086,I-II,2,0.1154320987654321,7,0.0,2,2,0.1154320987654321,0.3400129319595765
HLA-E_CD94:NKG2A,T cell regulatory,T cell NK-like,3,2.0,1.341554912082628,False,False,Lambrechts_Thienpont_2018_6149v1;Zuani_2024_NSCLC,0.6666666666666666,0.4471849706942093,I-II,2,0.10956300215559475,7,0.0,2,2,0.10956300215559475,0.3376219685386146
HLA-E_CD94:NKG2A,T cell CD8 terminally exhausted,T cell NK-like,3,2.0,1.3372093515868761,False,False,Lambrechts_Thienpont_2018_6149v1;Zuani_2024_NSCLC,0.6666666666666666,0.4457364505289587,I-II,2,0.10812267293748776,7,0.0,2,2,0.10812267293748776,0.33761377759147093
HLA-E_KLRK1,T cell CD8 terminally exhausted,T cell NK-like,3,2.0,1.78864658525793,False,True,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2,0.6666666666666666,0.59621552841931,I-II,2,0.2589193797455504,7,0.0,2,2,0.2589193797455504,0.3372961486737596
HLA-E_CD94:NKG2C,T cell CD8 dividing,T cell CD8 dividing,3,3.0,1.9701412110428813,False,False,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.6567137370142938,I-II,2,0.3197769428568909,7,0.0,2,2,0.3197769428568909,0.3369367941574029
CD52_SIGLEC10,T cell CD8 effector memory,cDC1,2,2.0,1.3289445216262488,False,True,Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.6644722608131244,I-II,2,0.33304717722751054,7,0.0,1,2,0.33304717722751054,0.33142508358561384
