interacting_pair,partner_a,partner_b,gene_a,gene_b,directionality,classification,interacting_cells,significant_mean
ProstaglandinE2_byPTGES2_PTGER3,complex:ProstaglandinE2_byPTGES2,simple:P43115,,PTGER3,Ligand-Receptor,Signaling by Prostaglandin,Club_AT2/1_high|Fibroblast peribronchial,0.621
SHH_PTCH_CDON_transmembrane_receptor,simple:Q15465,complex:PTCH_CDON_transmembrane_receptor,SHH,,Ligand-Receptor,Signaling by Sonic hedgehog,Club_AT2/1_high|Fibroblast peribronchial,0.528
RSPO3_LGR5,simple:Q9BXY4,simple:O75473,RSPO3,LGR5,Ligand-Receptor,Signaling by R-spondin,Club_AT2/1_high|Fibroblast peribronchial,0.652
VEGFA_NRP2,simple:P15692,simple:O60462,VEGFA,NRP2,Ligand-Receptor,Signaling by Vascular endothelial growth factor,Club_AT2/1_high|Fibroblast peribronchial,0.645
EDN1_EDNRA,simple:P05305,simple:P25101,EDN1,EDNRA,Ligand-Receptor,Signaling by Endothelin,Club_AT2/1_high|Fibroblast peribronchial,0.646
FGF1_FGFR1,simple:P05230,simple:P11362,FGF1,FGFR1,Ligand-Receptor,Signaling by Fibroblast growth factor,Club_AT2/1_high|Fibroblast peribronchial,0.637
WNT2_SFRP2,simple:P09544,simple:Q96HF1,WNT2,SFRP2,Ligand-Ligand,Signaling by WNT inhibition,Club_AT2/1_high|Fibroblast peribronchial,0.647
SHH_HHIP,simple:Q15465,simple:Q96QV1,SHH,HHIP,Ligand-Ligand,Signaling by Sonic hedgehog,Club_AT2/1_high|Fibroblast peribronchial,0.634
AREG_EGFR,simple:P15514,simple:P00533,AREG,EGFR,Ligand-Receptor,Signaling by Epidermal growth factor,Club_AT2/1_high|Fibroblast peribronchial,0.642
atRetinoicAcid_byALDH1A2_RAreceptor_RXRB,complex:atRetinoicAcid_byALDH1A2,complex:RAreceptor_RXRB,,,Ligand-Receptor,Signaling by Retinoic Acid,Club_AT2/1_high|Fibroblast peribronchial,0.58
EFNB2_EPHB3,simple:P52799,simple:P54753,EFNB2,EPHB3,Ligand-Receptor,Signaling by Ephrin,Club_AT2/1_high|Fibroblast peribronchial,0.651
GJC1_GJA1,simple:P36383,simple:P17302,GJC1,GJA1,Gap-Gap,Adhesion by GAP junction,Club_AT2/1_high|Fibroblast peribronchial,0.633
RBP4_STRA6,simple:P02753,simple:Q9BX79,RBP4,STRA6,Ligand-Receptor,,Club_AT2/1_high|Fibroblast peribronchial,0.649
AVP_OXTR,simple:P01185,simple:P30559,AVP,OXTR,Ligand-Receptor,Signaling by Vasopressin,Club_AT2/1_high|Fibroblast peribronchial,0.631
PDGFB_PDGFRA,simple:P01127,simple:P16234,PDGFB,PDGFRA,Ligand-Receptor,Signaling by Platelet-derived growth factor,Club_AT2/1_high|Fibroblast peribronchial,0.642
ProstaglandinE2_byPTGES_PTGER3,complex:ProstaglandinE2_byPTGES,simple:P43115,,PTGER3,Ligand-Receptor,Signaling by Prostaglandin,Club_AT2/1_high|Fibroblast peribronchial,0.629
HBEGF_ERBB2,simple:Q99075,simple:P04626,HBEGF,ERBB2,Ligand-Receptor,Signaling by Epidermal growth factor,Club_AT2/1_high|Fibroblast peribronchial,0.61
EREG_EGFR,simple:O14944,simple:P00533,EREG,EGFR,Ligand-Receptor,Signaling by Epidermal growth factor,Club_AT2/1_high|Fibroblast peribronchial,0.622
SHH_PTCH_GAS1_transmembrane_receptor,simple:Q15465,complex:PTCH_GAS1_transmembrane_receptor,SHH,,Ligand-Receptor,Signaling by Sonic hedgehog,Club_AT2/1_high|Fibroblast peribronchial,0.569
IL20_IL20_receptor_Type_I,simple:Q9NYY1,complex:IL20_receptor_Type_I,IL20,,Ligand-Receptor,Signaling by Interleukin,Club_AT2/1_high|Fibroblast peribronchial,0.531
PDGFB_PDGFR_complex,simple:P01127,complex:PDGFR_complex,PDGFB,,Ligand-Receptor,Signaling by Platelet-derived growth factor,Club_AT2/1_high|Fibroblast peribronchial,0.636
ProstaglandinF2a_byAKR1B1_PTGFR,complex:ProstaglandinF2a_byAKR1B1,simple:P43088,,PTGFR,Ligand-Receptor,Signaling by Prostaglandin,Club_AT2/1_high|Fibroblast peribronchial,0.594
Epinephrine_byPNMT_ADRA2A,complex:Epinephrine_byPNMT,simple:P08913,,ADRA2A,Ligand-Receptor,Signaling by Epinephrine,Club_AT2/1_high|Fibroblast peribronchial,0.625
DLL4_NOTCH2,simple:Q9NR61,simple:Q04721,DLL4,NOTCH2,Ligand-Receptor,Signaling by Notch,Club_AT2/1_high|Fibroblast peribronchial,0.611
Adrenaline_byPNMT_and_SLC18A2_ADRA2A,complex:Adrenaline_byPNMT_and_SLC18A2,simple:P08913,,ADRA2A,Ligand-Receptor,Signaling by Adrenaline,Club_AT2/1_high|Fibroblast peribronchial,0.622
CCL19_CCR7,simple:Q99731,simple:P32248,CCL19,CCR7,Ligand-Receptor,Signaling by Chemokines,DC mature|Fibroblast peribronchial,0.648
ProstaglandinE2_byPTGES2_PTGER1,complex:ProstaglandinE2_byPTGES2,simple:P34995,,PTGER1,Ligand-Receptor,Signaling by Prostaglandin,DC mature|Fibroblast peribronchial,0.711
C10orf99_SUSD2,simple:Q6UWK7,simple:Q9UGT4,C10orf99,SUSD2,Ligand-Receptor,,DC mature|Fibroblast peribronchial,0.688
RSPO2_LGR5,simple:Q6UXX9,simple:O75473,RSPO2,LGR5,Ligand-Receptor,Signaling by R-spondin,DC mature|Fibroblast peribronchial,0.65
TENM2_ADGRL2,simple:Q9NT68,simple:O95490,TENM2,ADGRL2,Ligand-Receptor,Signaling by Teneurin,DC mature|Fibroblast peribronchial,0.676
GJA5_GJA5,simple:P36382,simple:P36382,GJA5,GJA5,Gap-Gap,Adhesion by GAP junction,DC mature|Fibroblast peribronchial,0.616
LipoxinA4_byALOX12_FPR2,complex:LipoxinA4_byALOX12,simple:P25090,,FPR2,Ligand-Receptor,Signaling by Lipoxin/Leukotriene,DC mature|Fibroblast peribronchial,0.64
CCL19_CCRL2,simple:Q99731,simple:O00421,CCL19,CCRL2,Ligand-Receptor,Signaling by Chemokines,DC mature|Fibroblast peribronchial,0.645
GJC1_GJA5,simple:P36383,simple:P36382,GJC1,GJA5,Gap-Gap,Adhesion by GAP junction,DC mature|Fibroblast peribronchial,0.622
TENM2_ADGRL3,simple:Q9NT68,simple:Q9HAR2,TENM2,ADGRL3,Ligand-Receptor,Signaling by Teneurin,DC mature|Fibroblast peribronchial,0.637
WNT5B_SFRP4,simple:Q9H1J7,simple:Q6FHJ7,WNT5B,SFRP4,Ligand-Ligand,Signaling by WNT inhibition,DC mature|Fibroblast peribronchial,0.81
ProstaglandinE2_byPTGES2_PTGER3,complex:ProstaglandinE2_byPTGES2,simple:P43115,,PTGER3,Ligand-Receptor,Signaling by Prostaglandin,DC mature|Fibroblast peribronchial,0.762
SAA1_FPR2,simple:P0DJI8,simple:P25090,SAA1,FPR2,Ligand-Receptor,,DC mature|Fibroblast peribronchial,0.596
SHH_PTCH_CDON_transmembrane_receptor,simple:Q15465,complex:PTCH_CDON_transmembrane_receptor,SHH,,Ligand-Receptor,Signaling by Sonic hedgehog,DC mature|Fibroblast peribronchial,0.513
WNT5B_FRZB,simple:Q9H1J7,simple:Q92765,WNT5B,FRZB,Ligand-Ligand,Signaling by WNT inhibition,DC mature|Fibroblast peribronchial,0.75
TNFSF18_TNFRSF18,simple:Q9UNG2,simple:Q9Y5U5,TNFSF18,TNFRSF18,Ligand-Receptor,Signaling by Tumor necrosis factor,DC mature|Fibroblast peribronchial,0.646
CDH2_CDH2,simple:P19022,simple:P19022,CDH2,CDH2,Adhesion-Adhesion,Adhesion by Cadherin,DC mature|Fibroblast peribronchial,0.689
RSPO3_LGR5,simple:Q9BXY4,simple:O75473,RSPO3,LGR5,Ligand-Receptor,Signaling by R-spondin,DC mature|Fibroblast peribronchial,0.635
WNT5B_SFRP1,simple:Q9H1J7,simple:Q8N474,WNT5B,SFRP1,Ligand-Ligand,Signaling by WNT inhibition,DC mature|Fibroblast peribronchial,0.688
WNT5B_SFRP2,simple:Q9H1J7,simple:Q96HF1,WNT5B,SFRP2,Ligand-Ligand,Signaling by WNT inhibition,DC mature|Fibroblast peribronchial,0.814
PDGFB_PDGFRB,simple:P01127,simple:P09619,PDGFB,PDGFRB,Ligand-Receptor,Signaling by Platelet-derived growth factor,DC mature|Fibroblast peribronchial,0.667
SHH_HHIP,simple:Q15465,simple:Q96QV1,SHH,HHIP,Ligand-Ligand,Signaling by Sonic hedgehog,DC mature|Fibroblast peribronchial,0.619
CXCL9_CXCR3,simple:Q07325,simple:P49682,CXCL9,CXCR3,Ligand-Receptor,Signaling by Chemokines,DC mature|Fibroblast peribronchial,0.624
CXCL10_CXCR3,simple:P02778,simple:P49682,CXCL10,CXCR3,Ligand-Receptor,Signaling by Chemokines,DC mature|Fibroblast peribronchial,0.614
WNT5A_SFRP4,simple:P41221,simple:Q6FHJ7,WNT5A,SFRP4,Ligand-Ligand,Signaling by WNT inhibition,DC mature|Fibroblast peribronchial,0.651
CRLF2_TSLPR,simple:Q9HC73,complex:TSLPR,CRLF2,,Receptor-Receptor,,DC mature|Fibroblast peribronchial,0.656
GAS6_AXL,simple:Q14393,simple:P30530,GAS6,AXL,Ligand-Receptor,Signaling by Growth arrest,DC mature|Fibroblast peribronchial,0.636
OXT_OXTR,simple:P01178,simple:P30559,OXT,OXTR,Ligand-Receptor,Signaling by Oxytocin,DC mature|Fibroblast peribronchial,0.692
CXCL10_DPP4,simple:P02778,simple:P27487,CXCL10,DPP4,Ligand-Receptor,Signaling by Chemokines,DC mature|Fibroblast peribronchial,0.656
WNT5A_SFRP2,simple:P41221,simple:Q96HF1,WNT5A,SFRP2,Ligand-Ligand,Signaling by WNT inhibition,DC mature|Fibroblast peribronchial,0.654
CXCL11_CXCR3,simple:O14625,simple:P49682,CXCL11,CXCR3,Ligand-Receptor,Signaling by Chemokines,DC mature|Fibroblast peribronchial,0.62
CXCL9_DPP4,simple:Q07325,simple:P27487,CXCL9,DPP4,Ligand-Receptor,Signaling by Chemokines,DC mature|Fibroblast peribronchial,0.667
RBP4_STRA6,simple:P02753,simple:Q9BX79,RBP4,STRA6,Ligand-Receptor,,DC mature|Fibroblast peribronchial,0.644
CALCA_RAMP1_complex,simple:P01258,complex:RAMP1_complex,CALCA,,Ligand-Receptor,Signaling by Calcitonin,DC mature|Fibroblast peribronchial,0.63
CXCL11_ACKR3,simple:O14625,simple:P25106,CXCL11,ACKR3,Ligand-Receptor,Signaling by Chemokines,DC mature|Fibroblast peribronchial,0.702
AVP_OXTR,simple:P01185,simple:P30559,AVP,OXTR,Ligand-Receptor,Signaling by Vasopressin,DC mature|Fibroblast peribronchial,0.617
CD86_CTLA4,simple:P42081,simple:P16410,CD86,CTLA4,Ligand-Receptor,,DC mature|Fibroblast peribronchial,0.627
PDGFB_PDGFRA,simple:P01127,simple:P16234,PDGFB,PDGFRA,Ligand-Receptor,Signaling by Platelet-derived growth factor,DC mature|Fibroblast peribronchial,0.673
CXCL11_DPP4,simple:O14625,simple:P27487,CXCL11,DPP4,Ligand-Receptor,Signaling by Chemokines,DC mature|Fibroblast peribronchial,0.663
EDN2_EDNRA,simple:P20800,simple:P25101,EDN2,EDNRA,Ligand-Receptor,Signaling by Endothelin,DC mature|Fibroblast peribronchial,0.646
SerotoninDopamin_byDDC_HTR3C,complex:SerotoninDopamin_byDDC,simple:Q8WXA8,,HTR3C,Ligand-Receptor,Signaling by Serotonin/Dopamine,DC mature|Fibroblast peribronchial,0.548
SHH_PTCH_GAS1_transmembrane_receptor,simple:Q15465,complex:PTCH_GAS1_transmembrane_receptor,SHH,,Ligand-Receptor,Signaling by Sonic hedgehog,DC mature|Fibroblast peribronchial,0.554
IL20_IL20_receptor_Type_I,simple:Q9NYY1,complex:IL20_receptor_Type_I,IL20,,Ligand-Receptor,Signaling by Interleukin,DC mature|Fibroblast peribronchial,0.524
WNT5B_WIF1,simple:Q9H1J7,simple:Q9Y5W5,WNT5B,WIF1,Ligand-Ligand,Signaling by WNT inhibition,DC mature|Fibroblast peribronchial,0.666
PDGFB_PDGFR_complex,simple:P01127,complex:PDGFR_complex,PDGFB,,Ligand-Receptor,Signaling by Platelet-derived growth factor,DC mature|Fibroblast peribronchial,0.667
WNT5B_SFRP5,simple:Q9H1J7,simple:Q5T4F7,WNT5B,SFRP5,Ligand-Ligand,Signaling by WNT inhibition,DC mature|Fibroblast peribronchial,0.687
CCL22_DPP4,simple:O00626,simple:P27487,CCL22,DPP4,Ligand-Receptor,Signaling by Chemokines,DC mature|Fibroblast peribronchial,0.68
DSG2_DSC3,simple:Q14126,simple:Q14574,DSG2,DSC3,Adhesion-Adhesion,Adhesion by Desmosome,DC mature|Fibroblast peribronchial,0.588
Adrenaline_byPNMT_and_SLC18A2_ADRA2A,complex:Adrenaline_byPNMT_and_SLC18A2,simple:P08913,,ADRA2A,Ligand-Receptor,Signaling by Adrenaline,DC mature|Fibroblast peribronchial,0.603
IGF1_integrin_a6b4_complex,simple:P05019,complex:integrin_a6b4_complex,IGF1,,Ligand-Receptor,Signaling by Insulin-like growth factor,Endothelial cell lymphatic|Fibroblast peribronchial,0.651
CCL21_CCR7,simple:O00585,simple:P32248,CCL21,CCR7,Ligand-Receptor,Signaling by Chemokines,Endothelial cell lymphatic|Fibroblast peribronchial,0.672
RSPO2_LGR5,simple:Q6UXX9,simple:O75473,RSPO2,LGR5,Ligand-Receptor,Signaling by R-spondin,Endothelial cell lymphatic|Fibroblast peribronchial,0.646
CD34_SELL,simple:P28906,simple:P14151,CD34,SELL,Ligand-Receptor,,Endothelial cell lymphatic|Fibroblast peribronchial,0.626
PGF_FLT1_complex,simple:P49763,complex:FLT1_complex,PGF,,Ligand-Receptor,Signaling by Placenta growth factor,Endothelial cell lymphatic|Fibroblast peribronchial,0.659
PGF_NRP2,simple:P49763,simple:O60462,PGF,NRP2,Ligand-Receptor,Signaling by Placenta growth factor,Endothelial cell lymphatic|Fibroblast peribronchial,0.791
PGF_FLT1,simple:P49763,simple:P17948,PGF,FLT1,Ligand-Receptor,Signaling by Placenta growth factor,Endothelial cell lymphatic|Fibroblast peribronchial,0.661
ANGPT2_TEK,simple:O15123,simple:Q02763,ANGPT2,TEK,Ligand-Receptor,Signaling by Angiopoietin,Endothelial cell lymphatic|Fibroblast peribronchial,0.676
WNT2_SFRP4,simple:P09544,simple:Q6FHJ7,WNT2,SFRP4,Ligand-Ligand,Signaling by WNT inhibition,Endothelial cell lymphatic|Fibroblast peribronchial,0.638
GJA5_GJA5,simple:P36382,simple:P36382,GJA5,GJA5,Gap-Gap,Adhesion by GAP junction,Endothelial cell lymphatic|Fibroblast peribronchial,0.618
HLA-E_KLRC1,simple:P13747,simple:P26715,HLA-E,KLRC1,Ligand-Receptor,Signaling by HLA,Endothelial cell lymphatic|Fibroblast peribronchial,0.562
FLRT2_ADGRL3,simple:O43155,simple:Q9HAR2,FLRT2,ADGRL3,Ligand-Receptor,Signaling by Fibronectin,Endothelial cell lymphatic|Fibroblast peribronchial,0.664
GJC1_GJA5,simple:P36383,simple:P36382,GJC1,GJA5,Gap-Gap,Adhesion by GAP junction,Endothelial cell lymphatic|Fibroblast peribronchial,0.627
DLL4_NOTCH3,simple:Q9NR61,simple:Q9UM47,DLL4,NOTCH3,Ligand-Receptor,Signaling by Notch,Endothelial cell lymphatic|Fibroblast peribronchial,0.665
PGF_NRP1,simple:P49763,simple:O14786,PGF,NRP1,Ligand-Receptor,Signaling by Placenta growth factor,Endothelial cell lymphatic|Fibroblast peribronchial,0.774
CD34_SELP,simple:P28906,simple:P16109,CD34,SELP,Ligand-Receptor,,Endothelial cell lymphatic|Fibroblast peribronchial,0.663
HLA-E_CD94:NKG2E,simple:P13747,complex:CD94:NKG2E,HLA-E,,Ligand-Receptor,Signaling by HLA,Endothelial cell lymphatic|Fibroblast peribronchial,0.564
HLA-E_CD94:NKG2A,simple:P13747,complex:CD94:NKG2A,HLA-E,,Ligand-Receptor,Signaling by HLA,Endothelial cell lymphatic|Fibroblast peribronchial,0.562
JAG1_NOTCH3,simple:P78504,simple:Q9UM47,JAG1,NOTCH3,Ligand-Receptor,Signaling by Notch,Endothelial cell lymphatic|Fibroblast peribronchial,0.771
HLA-E_KLRK1,simple:P13747,simple:P26718,HLA-E,KLRK1,Ligand-Receptor,Signaling by HLA,Endothelial cell lymphatic|Fibroblast peribronchial,0.557
HLA-E_KLRC2,simple:P13747,simple:P26717,HLA-E,KLRC2,Ligand-Receptor,Signaling by HLA,Endothelial cell lymphatic|Fibroblast peribronchial,0.56
PODXL_SELL,simple:O00592,simple:P14151,PODXL,SELL,Receptor-Receptor,Signaling by Podocalyxin-like protein,Endothelial cell lymphatic|Fibroblast peribronchial,0.601
SHH_PTCH_CDON_transmembrane_receptor,simple:Q15465,complex:PTCH_CDON_transmembrane_receptor,SHH,,Ligand-Receptor,Signaling by Sonic hedgehog,Endothelial cell lymphatic|Fibroblast peribronchial,0.534
ProstaglandinD2_byAKR1C3_PTGFR,complex:ProstaglandinD2_byAKR1C3,simple:P43088,,PTGFR,Ligand-Receptor,Signaling by Prostaglandin,Endothelial cell lymphatic|Fibroblast peribronchial,0.773
SEMA3A_NRP1,simple:Q14563,simple:O14786,SEMA3A,NRP1,Ligand-Receptor,Signaling by Semaphorin,Endothelial cell lymphatic|Fibroblast peribronchial,0.791
CEACAM1_CEACAM6,simple:P13688,simple:P40199,CEACAM1,CEACAM6,Adhesion-Adhesion,Adhesion by CEAM,Endothelial cell lymphatic|Fibroblast peribronchial,0.671
HLA-E_CD94:NKG2C,simple:P13747,complex:CD94:NKG2C,HLA-E,,Ligand-Receptor,Signaling by HLA,Endothelial cell lymphatic|Fibroblast peribronchial,0.56
RSPO3_LGR5,simple:Q9BXY4,simple:O75473,RSPO3,LGR5,Ligand-Receptor,Signaling by R-spondin,Endothelial cell lymphatic|Fibroblast peribronchial,0.636
JAG1_VASN,simple:P78504,simple:Q6EMK4,JAG1,VASN,Ligand-Receptor,,Endothelial cell lymphatic|Fibroblast peribronchial,0.77
EDN1_EDNRA,simple:P05305,simple:P25101,EDN1,EDNRA,Ligand-Receptor,Signaling by Endothelin,Endothelial cell lymphatic|Fibroblast peribronchial,0.705
PDGFB_PDGFRB,simple:P01127,simple:P09619,PDGFB,PDGFRB,Ligand-Receptor,Signaling by Platelet-derived growth factor,Endothelial cell lymphatic|Fibroblast peribronchial,0.774
WNT2_SFRP2,simple:P09544,simple:Q96HF1,WNT2,SFRP2,Ligand-Ligand,Signaling by WNT inhibition,Endothelial cell lymphatic|Fibroblast peribronchial,0.641
JAG1_NOTCH2,simple:P78504,simple:Q04721,JAG1,NOTCH2,Ligand-Receptor,Signaling by Notch,Endothelial cell lymphatic|Fibroblast peribronchial,0.739
SHH_HHIP,simple:Q15465,simple:Q96QV1,SHH,HHIP,Ligand-Ligand,Signaling by Sonic hedgehog,Endothelial cell lymphatic|Fibroblast peribronchial,0.641
GJA1_GJA5,simple:P17302,simple:P36382,GJA1,GJA5,Gap-Gap,Adhesion by GAP junction,Endothelial cell lymphatic|Fibroblast peribronchial,0.809
WNT5A_SFRP4,simple:P41221,simple:Q6FHJ7,WNT5A,SFRP4,Ligand-Ligand,Signaling by WNT inhibition,Endothelial cell lymphatic|Fibroblast peribronchial,0.665
GAS6_AXL,simple:Q14393,simple:P30530,GAS6,AXL,Ligand-Receptor,Signaling by Growth arrest,Endothelial cell lymphatic|Fibroblast peribronchial,0.734
atRetinoicAcid_byALDH1A1_RAreceptor_RXRB,complex:atRetinoicAcid_byALDH1A1,complex:RAreceptor_RXRB,,,Ligand-Receptor,Signaling by Retinoic Acid,Endothelial cell lymphatic|Fibroblast peribronchial,0.743
atRetinoicAcid_byALDH1A2_RAreceptor_RXRB,complex:atRetinoicAcid_byALDH1A2,complex:RAreceptor_RXRB,,,Ligand-Receptor,Signaling by Retinoic Acid,Endothelial cell lymphatic|Fibroblast peribronchial,0.579
EFNB2_EPHB3,simple:P52799,simple:P54753,EFNB2,EPHB3,Ligand-Receptor,Signaling by Ephrin,Endothelial cell lymphatic|Fibroblast peribronchial,0.667
EFNA1_EPHA3,simple:P20827,simple:P29320,EFNA1,EPHA3,Ligand-Receptor,Signaling by Ephrin,Endothelial cell lymphatic|Fibroblast peribronchial,0.761
CCL14_CCR1,simple:Q16627,simple:P32246,CCL14,CCR1,Ligand-Receptor,Signaling by Chemokines,Endothelial cell lymphatic|Fibroblast peribronchial,0.657
WNT5A_SFRP2,simple:P41221,simple:Q96HF1,WNT5A,SFRP2,Ligand-Ligand,Signaling by WNT inhibition,Endothelial cell lymphatic|Fibroblast peribronchial,0.668
EFNA1_EPHA2,simple:P20827,simple:P29317,EFNA1,EPHA2,Ligand-Receptor,Signaling by Ephrin,Endothelial cell lymphatic|Fibroblast peribronchial,0.69
GJC1_GJA1,simple:P36383,simple:P17302,GJC1,GJA1,Gap-Gap,Adhesion by GAP junction,Endothelial cell lymphatic|Fibroblast peribronchial,0.628
NLGN2_NRXN2,simple:Q8NFZ4,simple:P58401,NLGN2,NRXN2,Ligand-Receptor,Signaling by Neuroligin,Endothelial cell lymphatic|Fibroblast peribronchial,0.679
RBP4_STRA6,simple:P02753,simple:Q9BX79,RBP4,STRA6,Ligand-Receptor,,Endothelial cell lymphatic|Fibroblast peribronchial,0.642
EFNA5_EPHA3,simple:P52803,simple:P29320,EFNA5,EPHA3,Ligand-Receptor,Signaling by Ephrin,Endothelial cell lymphatic|Fibroblast peribronchial,0.775
PDGFB_PDGFRA,simple:P01127,simple:P16234,PDGFB,PDGFRA,Ligand-Receptor,Signaling by Platelet-derived growth factor,Endothelial cell lymphatic|Fibroblast peribronchial,0.78
CCL28_CCR10,simple:Q9NRJ3,simple:P46092,CCL28,CCR10,Ligand-Receptor,Signaling by Chemokines,Endothelial cell lymphatic|Fibroblast peribronchial,0.612
GJA1_GJA1,simple:P17302,simple:P17302,GJA1,GJA1,Gap-Gap,Adhesion by GAP junction,Endothelial cell lymphatic|Fibroblast peribronchial,0.81
MDK_PTPRZ1,simple:P21741,simple:P23471,MDK,PTPRZ1,Ligand-Receptor,Signaling by Midkine,Endothelial cell lymphatic|Fibroblast peribronchial,0.648
IL24_IL20_receptor_Type_I,simple:Q13007,complex:IL20_receptor_Type_I,IL24,,Ligand-Receptor,Signaling by Interleukin,Endothelial cell lymphatic|Fibroblast peribronchial,0.616
APP_TNFRSF21,simple:P05067,simple:O75509,APP,TNFRSF21,Ligand-Receptor,Signaling by Amyloid-beta precursor protein,Endothelial cell lymphatic|Fibroblast peribronchial,0.73
TNFSF10_TNFRSF11B,simple:P50591,simple:O00300,TNFSF10,TNFRSF11B,Ligand-Receptor,Signaling by Tumor necrosis factor,Endothelial cell lymphatic|Fibroblast peribronchial,0.641
SEMA3A_PlexinA1_complex3,simple:Q14563,complex:PlexinA1_complex3,SEMA3A,,Ligand-Receptor,Signaling by Semaphorin,Endothelial cell lymphatic|Fibroblast peribronchial,0.791
CEACAM1_SELE,simple:P13688,simple:P16581,CEACAM1,SELE,Adhesion-Adhesion,Adhesion by CEAM,Endothelial cell lymphatic|Fibroblast peribronchial,0.665
CEACAM1_CEACAM8,simple:P13688,simple:P31997,CEACAM1,CEACAM8,Adhesion-Adhesion,Adhesion by CEAM,Endothelial cell lymphatic|Fibroblast peribronchial,0.655
SHH_PTCH_GAS1_transmembrane_receptor,simple:Q15465,complex:PTCH_GAS1_transmembrane_receptor,SHH,,Ligand-Receptor,Signaling by Sonic hedgehog,Endothelial cell lymphatic|Fibroblast peribronchial,0.575
IL20_IL20_receptor_Type_I,simple:Q9NYY1,complex:IL20_receptor_Type_I,IL20,,Ligand-Receptor,Signaling by Interleukin,Endothelial cell lymphatic|Fibroblast peribronchial,0.524
PDGFB_PDGFR_complex,simple:P01127,complex:PDGFR_complex,PDGFB,,Ligand-Receptor,Signaling by Platelet-derived growth factor,Endothelial cell lymphatic|Fibroblast peribronchial,0.774
