cell_type_adjusted,AT1,AT2_ROS1+,B cell,B cell dividing,Ciliated,Club_AT2_even_1,Club_AT2_even_2,Club_AT2_high,Club_Ciliated,DC mature,Endothelial cell arterial,Endothelial cell capillary,Endothelial cell lymphatic,Endothelial cell venous,Fibroblast adventitial,Fibroblast alveolar,Fibroblast peribronchial,Macrophage,Macrophage alveolar,Mast cell,Mesothelial,Monocyte classical,Monocyte non-classical,NK cell,NK cell dividing,Neutrophils,Pericyte,Plasma cell,Plasma cell dividing,Smooth muscle cell,T cell CD4,T cell CD4 dividing,T cell CD8 activated,T cell CD8 dividing,T cell CD8 effector memory,T cell CD8 naive,T cell CD8 terminally exhausted,T cell NK-like,T cell regulatory,Tumor LAUD_LUSC_AT2,Tumor LUAD_AT2_high,Tumor LUAD_AT2_mitotic,Tumor LUAD_LUSC,Tumor LUAD_LUSC_mitotic,Tumor LUAD_LUSC_mitotic_even,Tumor LUAD_mainly,Tumor LUAD_mainly_AT2_low,Tumor LUAD_mainly_AT2_mitotic,Tumor LUAD_mitotic,cDC1,cDC2,myeloid dividing,pDC,stromal dividing
Endothelial cell arterial,0.8133159469167428,0.11045252501420769,0.0067215148252467195,0.5123296161531591,0.5029797664724361,0.00041775485811510995,0.45972193354726065,0.5855038856327123,0.03946417562282478,0.5168727585476661,0.0,2.5401226690293528e-19,0.032477138107358194,7.720208289354336e-10,0.827082500990043,0.5414129530824557,0.8610310516352965,0.821929789563726,0.3063839124429014,0.08645827580037149,0.043887528982679586,0.5916338197153612,0.00037039787014467903,0.11070783312756644,0.4311744359249542,0.35683268131331575,0.6320515454164515,0.47365373972000374,0.9286096941530518,0.0487589030201662,0.4213921453229266,0.4389967506896979,0.02420903426245126,0.9170660138961391,0.05790472542296461,0.00012419147792186731,0.7651909843920518,0.0326729934386266,0.6216895301119625,0.40030393546432447,0.026552462762269007,0.11751611467285523,0.9606893711038847,0.6734041464614514,0.8599091757670367,0.5482091022481949,0.4595352625108746,0.3596689058674296,0.530239375442538,0.010894602443824775,0.4634157854732309,0.7479323557239413,0.4871536750498561,0.3719674884439944
Endothelial cell capillary,0.6922327018721278,0.4047239518519631,2.763023816994196e-05,0.7951118374887853,0.738819418713771,0.5764071970134975,0.8122219138126187,0.7427596728482655,0.9390831347598891,0.6103103623294233,2.5401226690293528e-19,0.0,0.8026307586455316,2.6033419441016257e-10,0.7385526244109606,0.4479169918673211,0.7159391024913472,0.9096787094950529,0.6372754610567366,0.8127478361460331,0.776871767199089,0.5210984827696437,0.4163769895219349,0.74861365322248,0.48208743985341695,0.5177554208769778,0.9982776115671981,0.8052664544705359,0.6434297106596172,0.3468079864315448,0.773476070600978,0.4830095379435746,0.1765535096535579,0.9483951784752679,0.20888120092166235,3.396243129071678e-05,0.9903633918475744,0.22029303149387144,0.7231255188630753,0.550009609550942,0.7747259816056795,0.6829584688159853,0.7061744972059394,0.7309301491612781,0.8365802730890877,0.7711718592311513,0.8136412693768084,0.5880275480776873,0.6963068898342072,0.15170986447549326,0.9386019048864792,0.4241510107304288,0.7350210751027061,0.2571141476575034
Endothelial cell lymphatic,0.1676474521328016,0.5651708603623264,0.5671593928661481,0.6715948868791619,1.1560218593214965e-06,0.06000970492142284,0.8532799427569803,0.8074874005069819,2.589888535072769e-25,0.5178648118283755,0.032477138107358194,0.8026307586455316,0.0,0.1657096152157955,0.9624709999606746,0.613194534314934,0.36914596988276216,0.5443647391154677,0.4576695963885945,0.8537792440653866,6.628343194253424e-26,0.6119945288520229,3.1614694225389294e-21,1.5279209390278535e-08,0.39657036911154636,0.42897905284294596,0.8519250130648838,0.42877411774222224,0.25593262268509803,0.6023563703352375,0.2119011842742739,0.32648982951085603,0.3667315833928789,0.5599708529312838,0.08145122855179077,0.6431043271573199,0.5679726996387202,2.2638580999362725e-05,0.05743336200064111,0.42248224514483185,0.924993282938214,0.4447320326794071,0.8447165268677645,0.6661354419862309,0.42531640218705513,0.07073406737342677,0.7223069542821677,0.6673123594740149,0.8049524418709199,0.5732258460136371,0.9276948215502131,0.8028364149566819,0.8520446212917987,0.6046246713127136
Endothelial cell venous,0.3749347167375627,0.5110063696313589,0.03787839331373761,0.2543249982912824,0.520323071082291,0.6163431234393085,0.8367919156990473,0.3786637598913747,0.5293556928089579,0.6952800076888779,7.720208289354336e-10,2.6033419441016257e-10,0.1657096152157955,0.0,0.8878117764127553,0.0007552855636421716,0.5812768522748163,0.4552531766723477,0.37712443021268677,9.982682107873531e-06,0.9728043655355971,0.691233968556768,0.6005106131115476,0.13817256247393608,0.23974118755406212,0.16930641228677576,0.0006143361728248298,0.3097425236519996,0.4397534085643967,1.8500969580190528e-08,0.31100011479358336,0.11344999613479281,0.800811151660561,0.2289071455876071,0.30244210857060794,0.26904962385146886,0.2488322631724166,0.7310356223059361,0.03845256975378463,0.29072420315261605,0.09966825630553179,0.8489513209596411,0.1496374038661191,0.3089525047150439,0.11787417276995957,0.020753407129444894,0.6073313618721677,0.35790106270955485,0.754724121838777,0.8178418599223741,0.4779346004714006,0.3243788215879444,0.401114537548307,0.39581541431434697
Fibroblast adventitial,0.5651353806158439,0.5399747641086119,0.5730191844374435,0.7015594611184448,0.7031309774835293,0.6318966074696606,0.7782485330119823,0.9400254942079054,0.8541302558099552,0.2023925939236566,0.827082500990043,0.7385526244109606,0.9624709999606746,0.8878117764127553,0.0,0.8052960660023588,5.735768104875254e-34,0.3039664285157679,0.6602677864170927,0.9635098677166083,0.9484046739668391,0.7342841900864814,0.8423059901459186,0.0647581648994168,0.5003786607532128,0.644353568743673,1.345238423325752e-07,0.544076111124119,0.6310990482184683,0.7923850334363829,0.3586897448475518,0.24850297501159227,0.3410759067953225,0.6133669821157882,0.09133743966190294,0.5754386577884123,0.9598630004858031,0.6071603712259718,0.8242044363665054,0.7364963129473533,0.9513980023053575,0.8132580479453985,0.6728213520391587,0.8140029716741171,0.004013201155776797,0.8807835212523459,0.7317614997040356,0.6855961046997466,0.8810699606410207,0.42361539321070757,0.2676560959057154,0.3326597192045507,0.606762758445017,0.707709591462786
Fibroblast alveolar,0.00990557588176482,0.914880600548783,0.08035399114371033,0.4097373292492523,0.4052916461316033,0.757967343437361,0.9139195819595165,0.9318607886094343,0.6821264657194801,0.8971005502540084,0.5414129530824557,0.4479169918673211,0.613194534314934,0.0007552855636421716,0.8052960660023588,0.0,0.3869071561588525,0.32717172647007275,0.2768962305913835,0.015607341814615334,0.9315055545662002,0.21904549211175314,0.5442639092753385,0.16489385535335174,0.08544902146641074,0.3199474740393465,0.29708044398139627,0.918632742773713,0.40057966613187246,0.0002725217208908293,0.13397084396272632,0.13591409387817185,0.937146559238863,0.23038172790551995,0.9229993869431402,0.07285684084411116,0.24897878953131058,0.7715675547173253,0.7928864548512372,0.8719687519830339,0.5384490307995176,0.8503924950351943,0.24944082037650847,0.5629033383673689,0.24577205965267598,0.6933531476829109,0.5874977482831734,0.38612297291757536,0.757096278888794,0.05590095667042124,0.66991361916075,0.5130747190060194,0.7825725460439074,0.7141317917913897
Fibroblast peribronchial,0.906059183434333,0.3592540706742902,0.5337064436631921,0.9577511444491265,0.2790788208604603,0.5749349923858831,0.7921138595716106,0.34236073158882624,0.4193527562935277,0.18445139484720452,0.8610310516352965,0.7159391024913472,0.36914596988276216,0.5812768522748163,5.735768104875254e-34,0.3869071561588525,0.0,0.01223450722123775,0.4133163797837912,0.4417098698969784,0.6147676767730433,0.48586768375841,0.7935822993861776,0.3183794158235187,0.8715218932826511,0.6472634842001129,1.9765843936913174e-08,0.9947660267458927,0.6663781189694894,0.2994459998201968,0.09334749989888574,0.41657761982180014,0.16940587570822163,0.681731903690634,0.02462196321492817,0.23254029814022042,0.7942096715932129,0.8945646619898708,0.9301152714341666,0.47605837083246894,0.960383513450763,0.5329198545599577,0.023018431796976265,0.6349436291394329,0.00029264093991580875,0.7148499624797668,0.8791888128013845,0.5360759715523947,0.5203742055359729,0.5214011873672619,0.08149732272088588,0.8235696364808781,0.5799621872445703,0.08958875767477341
Macrophage,0.9612667038276074,0.012577585953159592,0.05286320003316668,0.9864466046328122,0.6573012285139364,0.08433777558344677,0.31050875512565956,0.2655233829426647,0.2329545361648143,0.8098330929330098,0.821929789563726,0.9096787094950529,0.5443647391154677,0.4552531766723477,0.3039664285157679,0.32717172647007275,0.01223450722123775,0.0,0.951427796462281,0.03678825563464847,0.5008648683327587,0.10688948633442164,0.2821124880045739,0.5964724817118711,0.0034687976250694333,0.37309472636056096,0.7312763582865341,0.20322013762782512,0.01314969408490636,0.6027430113083668,0.03316895514647638,0.1515607982463463,9.330848252384366e-06,0.36765102408135614,7.917850846794226e-05,0.4275635820209989,0.5031820096886646,0.9656087450158485,0.9732476327001925,0.0727352031772083,0.7338557020891987,0.8610508303901299,0.21277865408771077,0.8238560948399172,0.23871929707345704,0.7505417847917997,0.3440976520959803,0.8164568631893035,0.3474124025892978,0.005128438886494685,5.268127997047613e-05,0.0006486549407362787,0.9227337634864027,4.1936235470696015e-06
Macrophage alveolar,0.2156067319571724,0.0625029300979128,0.019789653802965695,0.5027454071009921,0.003447731614556864,0.8820451983470944,0.2098362355869303,0.5661409823973504,0.30805643584370507,0.015570979863029922,0.3063839124429014,0.6372754610567366,0.4576695963885945,0.37712443021268677,0.6602677864170927,0.2768962305913835,0.4133163797837912,0.951427796462281,0.0,0.757049710863812,0.8830534663212923,0.402397300806387,0.5441889772525185,0.8674733324749992,0.8003860164039619,0.4609150583148836,0.31737857891179017,0.8795269060489493,0.22343278163250638,0.3183175914349526,0.0015950805643648817,0.23086020856866643,0.12766751778677285,0.06393590931414936,0.010294285069085201,0.019338282369709928,0.07363130289447933,0.021419187792092113,2.6631536431677933e-05,0.3123229722737013,0.529618710591392,0.33671270116199264,0.4650403623911379,0.6396214744190474,0.2525159021160816,0.37313592962437947,0.40354297473233697,0.41659673145588483,0.8811088609386155,0.33102805863020995,0.5147287951691609,0.0008563151104988884,0.07889323069660123,0.8749804710569142
Mast cell,0.22659889791655846,0.0004471788540667958,0.16703911832131377,0.26647619862887245,0.08934076101260228,0.14082620858908299,0.000439513903357568,0.5605446044086536,0.3026001885946405,0.011456116884459328,0.08645827580037149,0.8127478361460331,0.8537792440653866,9.982682107873531e-06,0.9635098677166083,0.015607341814615334,0.4417098698969784,0.03678825563464847,0.757049710863812,0.0,0.1623793669850809,0.34519322154116444,0.3987912411198466,0.6799629797313805,0.03841939837007805,0.34140678072657454,1.5656015907178485e-05,0.22847036082624794,0.1791339958953008,0.00016649429704739026,0.0699904450858915,0.13503438908630827,0.0008089915406587964,0.010383252932368053,0.36797963858400584,0.16475151677496724,0.009024728279737649,0.041801785720893096,0.3963921017434863,0.6346624478825434,0.5292657365939126,0.3435370840045992,0.23493395721364127,0.4637402988833758,0.11223969038226375,0.2941448687461062,0.07499320930863855,0.06753484893328775,0.36162490764219585,0.17681681875273303,0.8534599800372648,0.2791456091766146,0.9347372989042413,0.31810592546185334
Mesothelial,0.18016346822897963,0.3891143748802652,0.5736078601529704,0.8151441155735025,3.3256757664778076e-08,0.05337845080318368,0.7133951743343111,0.9713788831214766,1.609610321844301e-30,0.26910816605191584,0.043887528982679586,0.776871767199089,6.628343194253424e-26,0.9728043655355971,0.9484046739668391,0.9315055545662002,0.6147676767730433,0.5008648683327587,0.8830534663212923,0.1623793669850809,0.0,0.534391736619843,2.8338685325969556e-28,1.761587002079109e-11,0.599815429993102,0.38161862949889636,0.7148991158918039,0.36201561673858024,0.4476438164749985,0.7621757255279359,0.19101613101563333,0.5318625782020009,0.1952665263228145,0.843362602169852,0.08503828990269621,0.8925897367528075,0.9709718724855922,1.4200724978469875e-07,0.06068378107026845,0.7151399877995585,0.7177954517004247,0.6843457256748979,0.9583299527517891,0.9142843825265232,0.6031985192730966,0.7914937094081482,0.8808081589921541,0.7546821407858634,0.9172305885855998,0.4265643244678126,0.6633847202556982,0.7784337442496682,0.7255603495457584,0.4680401010570314
Monocyte classical,0.29132338321057893,0.008273312913129474,0.09330520935380295,0.9817764695465363,0.8592334401556628,0.29365082067935383,0.5092794758814163,0.12014016186484365,0.8725428207623291,0.040567276759010444,0.5916338197153612,0.5210984827696437,0.6119945288520229,0.691233968556768,0.7342841900864814,0.21904549211175314,0.48586768375841,0.10688948633442164,0.402397300806387,0.34519322154116444,0.534391736619843,0.0,0.2478308855971974,0.1583404676425385,0.08786626318385789,0.8948331355143526,0.4579922999738776,0.22748293277517795,0.7186438499185677,0.8554366707445713,0.02800347917260231,0.6908803435360843,0.3694883811199719,0.231283434200103,0.7489995651599347,0.00587864087399432,0.03767238574189424,0.24668223380301918,0.024327667050089558,0.9373468447264895,0.39776213427670665,0.15009995018617964,0.28862491417438674,0.7821186108512087,0.7020010319621339,0.4040660185082003,0.9300711690326141,0.4914283133999627,0.3163615743974892,0.11109734704297729,0.6694652595654916,0.7332518087853059,0.06376123978918936,0.04639100216776519
Monocyte non-classical,0.11389198190159928,0.19739668823571205,0.2928673402919702,0.7127042793872688,1.6844671897972507e-06,0.008163684059638575,0.49994454822727397,0.4661568912204804,4.6989142024868777e-20,0.5564431671487372,0.00037039787014467903,0.4163769895219349,3.1614694225389294e-21,0.6005106131115476,0.8423059901459186,0.5442639092753385,0.7935822993861776,0.2821124880045739,0.5441889772525185,0.3987912411198466,2.8338685325969556e-28,0.2478308855971974,0.0,6.583479019890073e-18,0.0006908231862300269,0.83129701415438,0.7778838664582319,0.26871037542281917,0.6003807057781544,0.9751755759566147,0.19798567494855665,0.7700961025981085,0.03218311591835055,0.5570160292323877,0.018779698694245495,0.4713884072320008,0.9825404311957258,3.049216041245935e-10,0.30548580978006934,0.6192995923362584,0.8792891115599841,0.6999645249385736,0.5773308177130331,0.73739198685195,0.5060290630820924,0.23974522242455037,0.5994913876862652,0.7452910000411791,0.63859074224911,0.009641466600692122,0.18174959440631636,0.45673789434237844,0.0063301147814888116,0.09061308215274136
NK cell,0.24343133593289465,0.391228810903139,0.13981642334488467,0.22103259415838275,0.00021750668743852048,0.11160633485976976,0.9252737991563428,0.05709678465892959,6.251451772496615e-09,0.3312489614895423,0.11070783312756644,0.74861365322248,1.5279209390278535e-08,0.13817256247393608,0.0647581648994168,0.16489385535335174,0.3183794158235187,0.5964724817118711,0.8674733324749992,0.6799629797313805,1.761587002079109e-11,0.1583404676425385,6.583479019890073e-18,0.0,0.0008963810348876979,0.4395810297796478,0.8861417978226049,0.08523473890774981,0.36772458236805494,0.1680115787083666,0.5456066091905206,0.09883922171062534,0.9313812553780982,0.27407286473801845,0.7929679357978044,0.8777643315046704,0.2666240244488458,3.57245286870485e-11,0.7417454257456418,0.5956357638733779,0.8171073644068807,0.9083606001835655,0.27537020268162,0.8162638064807621,0.9791248449939598,0.12176781635140754,0.8019899921997123,0.7220534101302024,0.41766511709623405,0.3074117109025633,0.7629605853402269,0.3461239387317468,0.7429636541311199,0.6856396773782263
NK cell dividing,0.8141810612572921,0.03411053801053937,0.2475714179641331,0.34679704954527235,0.058970434441310546,0.4267266688667985,0.41392841549226594,0.17976031092034422,0.5642341108478645,0.7120538566502191,0.4311744359249542,0.48208743985341695,0.39657036911154636,0.23974118755406212,0.5003786607532128,0.08544902146641074,0.8715218932826511,0.0034687976250694333,0.8003860164039619,0.03841939837007805,0.599815429993102,0.08786626318385789,0.0006908231862300269,0.0008963810348876979,0.0,0.5316592549223393,0.7987973714822572,0.36950319283007665,0.33279647689091535,0.7122135638831588,0.10850863704139299,0.0014963746537358601,0.03461576379657933,0.2000680281970639,0.12494861903732665,0.5563745023054517,0.9216199569956915,0.2263235762821904,0.23067669156633852,0.31555781896525914,0.004199979631149029,0.7888300520867485,0.08536990702114655,0.0014138680253417157,0.06527264468692305,0.3709395428982653,0.5772486136538877,0.6515914846311239,0.2510532113549771,0.002909553160367407,0.0006725899776344411,0.0009530849206877808,0.01891529630159671,0.031136676067457524
