cell_type_adjusted,AT2,B cell,B cell dividing,Ciliated,DC mature,Endothelial cell arterial,Endothelial cell capillary,Endothelial cell lymphatic,Endothelial cell venous,Fibroblast adventitial,Fibroblast alveolar,Fibroblast peribronchial,Macrophage,Macrophage alveolar,Mast cell,Mesothelial,Monocyte classical,Monocyte non-classical,NK cell,NK cell dividing,Neutrophils,Pericyte,Plasma cell,Plasma cell dividing,Smooth muscle cell,T cell CD4,T cell CD4 dividing,T cell CD8 activated,T cell CD8 dividing,T cell CD8 effector memory,T cell CD8 naive,T cell CD8 terminally exhausted,T cell NK-like,T cell regulatory,Tumor AT2/1_LUAD,Tumor Club/AT2_MSLN,Tumor LUAD2,Tumor LUAD_EMT,Tumor LUAD_LUSC_mitotic,Tumor LUAD_MSLN_LUSC,Tumor LUAD_ROS1+,Tumor LUAD_mitotic,Tumor LUSC,Tumor LUSC_LUAD_NE,Tumor LUSC_mitotic_NE,Tumor NSCLC_mixed,cDC1,cDC2,myeloid dividing,pDC,stromal dividing
Monocyte classical,0.6352914985376743,0.1281012747861452,0.19763481601454913,0.3711976648867458,0.02303290441246347,0.628203035275227,0.8415149238730409,0.39553817892160537,0.49453703992665243,0.907383510363225,0.36957530255345566,0.1288180611843397,0.00011055325245134142,0.01839991190296535,0.7198016227185758,0.4013772367718617,0.0,0.0007311140137382645,0.9777735050711326,0.00022429817534663624,0.010526225975071425,0.6027566373832843,0.4786632374620536,0.1610663240269245,0.7830153890239816,0.24741460517787384,0.039818455121026074,0.15497394303369078,0.1094200650055882,0.016520489874200572,0.8519804546329951,0.18398630818206357,0.192340500745723,0.02908747992282228,0.9652979042614365,0.19618587249971073,0.18938269248442718,0.4586749707351216,0.5036928514595478,0.0920872104593018,0.4231874896263731,0.34939049465194233,0.6850778842336189,0.12795707416799765,0.1295272047207498,0.21828352121919087,0.9205980230829359,0.04547478533253411,0.523475747081992,1.9505954368110762e-07,0.17576267125325767
Monocyte non-classical,0.6939940012489899,0.8566409064600631,0.5820708410453582,0.6348985652439981,0.7208486151644492,0.8316429018393008,0.8232792004059085,0.7431695898398725,0.49830595111618825,0.5306528536131594,0.664239975524987,0.22887304925070462,0.09069318581943922,0.12141132289793054,0.9072609436100517,0.7224347751172888,0.0007311140137382645,0.0,6.0287242433904825e-06,0.01578757136097191,0.7294226791318408,0.35562833339261685,0.07720678536097902,0.45620818148417847,0.8668804172614328,0.08485070559041809,0.5214202100640065,0.4044788406856042,0.11813438575384116,0.24360811774648497,0.0009118076858428388,0.13427820369297022,1.0774415141566159e-07,0.9965759210516116,0.6440220972300512,0.5616556558199254,0.03979425959299428,0.4184187501409354,0.6410303704364064,0.3785704264551072,0.7775563136016637,0.27073816906716985,0.39440926210934596,0.1669503151329789,0.2259351903700935,0.33405250830912214,0.4072276186933932,0.03490585152094837,0.9187059085240954,0.0008623949894086602,0.25599680658326784
NK cell,0.5019392132970855,0.12053892525522188,0.6026450950016446,0.7266692112296748,0.2962368607773199,0.8334364568248206,0.7452897937522667,0.6874754846181388,0.05416701689079739,0.697471738179725,0.30268657539770966,0.10196419359250251,0.058605457603472286,0.23555207469984837,0.23225375613331364,0.07576442468470135,0.9777735050711326,6.0287242433904825e-06,0.0,0.00023372845279644319,0.8277042363445041,0.5951921087917043,0.23984327517182408,0.6738146927961314,0.790689434156138,6.786055589185176e-10,0.48987428146999873,0.6757690890671344,0.5793614762967404,5.370311457813883e-05,1.8340725101749742e-10,0.01077233411276985,1.043542352256476e-20,0.005097016848120572,0.3159916045380681,0.2010648864243509,0.11794218369817142,0.22388080327403376,0.6918052458518477,0.10050469824674724,0.2037617622034046,0.14054985521480176,0.24820206119527097,0.03402425919985306,0.033001051761551096,0.27899982295289305,0.8943461258883474,0.8548651828619915,0.23731149899163317,0.9420898489528291,0.07540681929358121
NK cell dividing,0.6692674677231822,0.6064759136338808,0.45632866416331064,0.8594226627123737,0.03745067274164559,0.8886192522683128,0.8069406253012023,0.18034746377980593,0.7857884163182358,0.9752251757468259,0.6139446586576822,0.35738185304959175,0.127329579146823,0.6302010221489663,0.8556867966125998,0.9162337686522526,0.00022429817534663624,0.01578757136097191,0.00023372845279644319,0.0,0.26103589755555556,0.5520235619686692,0.013032434342590066,0.001147121771173451,0.3580373619858371,0.03676475616084667,0.013436879853214791,0.6586697096436784,0.0007310057155462303,0.3865871026472082,0.015066149590074369,0.43177248096510173,0.005297257242223655,0.6389337217191513,0.7209432560261079,0.524056341547294,0.6964151623490152,0.447521240610275,0.8164167647465905,0.4237032357297684,0.5892455481769155,0.3056813104986628,0.4198368862012849,0.5354314103759438,0.268134278705115,0.47545728351175764,0.8291163967421509,0.3387829951391604,0.609679859821106,5.995907604730421e-08,0.45566219268535524
Neutrophils,1.4182768232377482e-05,0.892374936386,0.34205136426026794,0.2514932133659164,0.6687315939843692,0.7837633767261105,0.9181609587261935,0.27802747344290446,0.07188991484085598,0.33657542206550406,0.41911043081616145,0.17377997336613416,0.06658698447869492,0.2495629615085205,0.6676351298484687,0.5690363408467026,0.010526225975071425,0.7294226791318408,0.8277042363445041,0.26103589755555556,0.0,0.22092700016320008,0.07950312140194848,0.17737770720467785,0.2817847078807586,0.32780034371479017,0.26162664263654223,0.5610267540575843,0.26944445044098086,0.3326991969029995,0.1935386264763475,0.37812157754147324,0.9542703834185486,0.21383317774327362,0.530369962777228,0.18876599151472373,0.6294624334118136,0.3155897947650106,0.8656740629256156,0.057591802056985074,0.329015613184995,0.3298688470963158,0.5917386947528787,0.2024185709392658,0.21669586278306247,0.5034491901470258,0.3348039551849265,0.10721604989904472,0.22019786151548437,0.7416178858472144,0.20852027886263141
Pericyte,0.7272440625544624,0.2420809442147639,0.6863724950868366,0.693541413661643,0.8054386794150928,0.7978905907205203,0.05659770512848865,0.2529354954674325,1.9977906853733158e-05,0.15165708179164453,0.2763733460934398,0.0021182096490336144,0.41419707603819106,0.27074790336625304,0.4140085214552142,0.6419529308656372,0.6027566373832843,0.35562833339261685,0.5951921087917043,0.5520235619686692,0.22092700016320008,0.0,0.0001648579865994527,0.43478386686597226,1.5911915310780835e-08,0.2759602028243583,0.8405560026737664,0.3841899699217145,0.850506053865992,0.5374249517165391,0.34955170750209485,0.4758072579882285,0.33587550485539436,0.19771505937464723,0.9778615440804628,0.5047691079548481,0.728193508103448,0.5201061089026928,0.9038875681981569,0.8381633108716159,0.8659863912905509,0.9853450294494711,0.7877650786812233,0.9357992877597604,0.5797080619616204,0.5986294127709991,0.30512753198692427,0.7675588883286706,0.5103799131585317,0.7499103582522793,2.4756493423634537e-08
Plasma cell,0.3867727894946205,0.7164296662109844,0.20911035609001488,0.1730274279594248,0.0071586101441007965,0.8041177938391123,0.8452080319942982,0.2501597451782218,0.6075704510202358,0.029361660173569816,0.8820954962283054,0.8087437992329413,0.8184437928223258,0.11412343292480323,0.006165713223473706,0.992875464900994,0.4786632374620536,0.07720678536097902,0.23984327517182408,0.013032434342590066,0.07950312140194848,0.0001648579865994527,0.0,0.00017539628141542826,0.004010531498776677,0.5416150675132647,0.0012061309885265771,0.35885323601968266,0.518716739270229,0.8383261975368871,0.36782299991236667,0.8728000593519201,0.12260770834831781,0.03626011750992246,0.5807233743455611,0.3840029995329089,0.40533860530282795,0.25224437134048483,0.5402366751611609,0.2348115901335222,0.2100043653060481,0.9768516956860956,0.3559220584252094,0.6518682978364716,0.3471032287303666,0.30545606257583424,0.003985023342168166,0.5437378846448379,0.11877604705111677,0.3235240979618588,0.7898791088568813
Plasma cell dividing,0.7210593332257963,0.911731230397763,0.7156633787186673,0.484736577191814,0.5521689401123591,0.618876368322291,0.8150876076352823,0.5505855303762903,0.4959796933673246,0.49490877704780684,0.41867260148416624,0.9408052381024997,0.665770731874424,0.5453573202615912,0.7976302833772326,0.42477960619115857,0.1610663240269245,0.45620818148417847,0.6738146927961314,0.001147121771173451,0.17737770720467785,0.43478386686597226,0.00017539628141542826,0.0,0.7106401154911138,0.9207282401760164,1.733432919318493e-05,0.46768447297379856,0.08334265545888815,0.7585817684184645,0.8994374281399774,0.5408206371620117,0.7280122857811672,0.450000258950144,0.29594070305832504,0.38891566143905787,0.39085540204503305,0.4295827731961039,0.8045346616188982,0.5365357760108812,0.6242687259681124,0.8377749047611734,0.9569758015890242,0.9697405689695832,0.9238314246215925,0.5459535166614634,0.0005556113378030956,0.0015053792127363644,1.2920197719144313e-06,0.06290177394203407,0.7550607217702378
Smooth muscle cell,0.7953321624513534,0.9854978400937159,0.7660163927591063,0.6171426662741611,0.6663154109115519,0.009846272338709022,0.0002170180466601945,5.115428556628801e-08,2.9087360070626343e-06,3.2421518600620413e-07,1.4330131335873138e-06,0.4709021196413791,0.2678169241631653,0.349639339987436,0.005912119600091242,0.8170160218914213,0.7830153890239816,0.8668804172614328,0.790689434156138,0.3580373619858371,0.2817847078807586,1.5911915310780835e-08,0.004010531498776677,0.7106401154911138,0.0,0.9370993002926626,0.653962816127315,0.7464390434622796,0.65165328317018,0.6536317203802359,0.8347698630735313,0.6362470232967609,0.5590659828450673,0.75994892970167,0.15788008932981018,0.7957178093765434,0.7945497691727016,0.6728308028815702,0.7219688444035735,0.5781754148995519,0.44327584606234144,0.6176267696292581,0.938719410279205,0.4023870663792636,0.4448757816831854,0.6463847255303273,0.8807101147290358,0.6390971794836027,0.5120800514327508,0.6098051523704289,0.890798628349329
T cell CD4,0.31023864603974377,2.5755690719953917e-10,0.022548499945073054,0.4483496629502199,0.5469831269624902,0.009874526326922008,0.8873877153253925,0.21323381655851306,0.2726093575464426,0.9308297021729166,0.3570187418802008,0.02439161440782416,0.0011537338171668653,0.818913054323747,0.7940997678463575,0.0666309682581607,0.24741460517787384,0.08485070559041809,6.786055589185176e-10,0.03676475616084667,0.32780034371479017,0.2759602028243583,0.5416150675132647,0.9207282401760164,0.9370993002926626,0.0,0.5283824163689524,0.20296362577643492,0.5525853509586629,1.2628243433383816e-08,1.3641645976006852e-07,0.008182709196424217,0.0011121601606005685,2.548542660885399e-07,0.10866820435855189,0.23632891446836035,0.5346683151656002,0.08500556406291608,0.38230463325496655,0.02543131442207635,0.04686085547938088,0.06741770515701882,0.42004848293846553,0.001214761536856451,0.00099198488439137,0.24895156010385672,0.02357354517775901,0.6239273192652731,0.03347319460631065,0.4228408194977335,0.007240104565264013
T cell CD4 dividing,0.44203561559571386,0.21086284009996542,0.976842191696787,0.27790484517151365,0.0095198011469898,0.1293413300110718,0.5028959216941091,0.2597408797840916,0.9690929843879218,0.21235724580735563,0.2293079019252831,0.24607135314155879,0.15758944160512614,0.3142554883294257,0.7881342646550913,0.46296019765613877,0.039818455121026074,0.5214202100640065,0.48987428146999873,0.013436879853214791,0.26162664263654223,0.8405560026737664,0.0012061309885265771,1.733432919318493e-05,0.653962816127315,0.5283824163689524,0.0,0.4407532742665214,2.9731799987381855e-14,0.009670880302536447,0.8884361358592704,3.1410033399682975e-05,0.800026235388285,3.844734152759328e-05,0.5765426606106717,0.09818606515877017,0.44240413504990195,0.761361148616807,0.26811913551531685,0.1456677192696255,0.12380494271841773,0.49286278560854074,0.10728952171294963,0.14341901421422867,0.18568342402512142,0.19692641781678943,0.05601634042090701,0.060233109738776804,0.05741840790900919,1.7577117644606863e-05,0.48231332747988526
