Regulator	Target	MI	pvalue
Fibroblast peribronchial	Fibroblast adventitial	0.27506055582034045	0.0
Monocyte non-classical	T cell NK-like	0.3748065031265325	0.0
Endothelial cell venous	Monocyte classical	0.2849550221981436	7.052225470260964E-11
Neutrophils	T cell CD4	0.3078613848484873	0.006815680452503692
Ciliated	cDC2	0.2767964606393121	1.1992327131338243E-8
Monocyte classical	cDC2	0.42297799112338696	0.0
cDC2	T cell regulatory	0.3936256354794456	0.0
Alveolar cell type 2	Alveolar cell type 1	0.2908500245414919	0.0
Plasma cell	pDC	0.34573267227385607	4.553840286192212E-6
stromal dividing	Pericyte	0.28494823382537043	3.4254679093237428E-9
Macrophage	Monocyte classical	0.459525688018448	0.0
myeloid dividing	Fibroblast peribronchial	0.27821804930733884	0.0025932099545551424
Macrophage	Mast cell	0.4029933860271379	0.0
T cell regulatory	B cell	0.6527266493038599	9.602719140788807E-4
transitional club/AT2	cDC2	0.3062626622023845	0.0
pDC	T cell CD4	0.37553563616768243	0.0
Monocyte classical	NK cell	0.37649654714502606	0.04328156460949639
NK cell	Monocyte non-classical	0.3031373900836819	1.3949189286321939E-5
T cell CD4	T cell regulatory	0.8855764532714282	0.0
T cell NK-like	NK cell	0.5114827009814618	0.0
cDC1	T cell CD4 dividing	0.3638133070004092	0.0
T cell regulatory	Plasma cell	0.4222594442067864	0.0
cDC2	Macrophage alveolar	0.3719310525148004	0.0
Neutrophils	Monocyte classical	0.30294397799297473	0.0
cDC1	B cell	0.3846149215887517	9.602719140788807E-4
Mast cell	Plasma cell	0.39132426312759544	0.0
T cell regulatory	T cell CD8 activated	0.603994872472039	0.0
pDC	T cell CD8 dividing	0.3538175985264968	2.629523265795797E-10
pDC	Plasma cell	0.35512672805057754	0.006815680452503692
Macrophage alveolar	Fibroblast adventitial	0.27611096376259836	3.4254679093237428E-9
Pericyte	Smooth muscle cell	0.2857302405858835	1.3949189286321939E-5
Monocyte classical	Endothelial cell venous	0.28064237070759523	1.3789900421556922E-7
transitional club/AT2	B cell	0.3121115823046521	3.463143810815694E-4
myeloid dividing	Monocyte classical	0.3375676500190323	1.4521372131426347E-6
pDC	cDC2	0.378746521923495	0.0
transitional club/AT2	Tumor LUAD_mixed	0.3024173493883788	0.0
myeloid dividing	Macrophage	0.3697570195841138	0.0
Macrophage alveolar	Tumor LUAD_mixed	0.28113185785380385	1.06314956838105E-12
Plasma cell dividing	Plasma cell	0.2976722672149847	0.0
Endothelial cell venous	Plasma cell	0.28620416638741797	1.2171542395833512E-4
Macrophage	cDC2	0.41671679701427733	0.0
T cell CD8 activated	pDC	0.3601705183896111	0.0
pDC	Monocyte classical	0.3729830069284467	0.0
T cell CD4 dividing	T cell CD8 effector memory	0.44138598752335234	0.0
DC mature	pDC	0.3320867221197985	0.0
T cell CD8 effector memory	cDC1	0.39808987464525014	0.0
T cell CD8 terminally exhausted	T cell CD8 dividing	0.5091264856196639	0.0
