"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000146678",2.25159065055106e-18,2.70180793410936,0.022,0.003,1.22238856418417e-14
"ENSG00000115616",2.26060015634954e-18,4.08521835677593,0.01,0,1.22727982488216e-14
"ENSG00000182183",2.33152903746385e-18,-6.487346538813,0,0.063,1.26578711443912e-14
"ENSG00000080822",2.33502626866615e-18,-1.59296855451803,0.112,0.213,1.26768576125885e-14
"ENSG00000181817",2.66042560480894e-18,-2.09854360021048,0.027,0.108,1.44434506085078e-14
"ENSG00000124575",2.88053410831532e-18,-3.45434332924141,0.008,0.077,1.56384196740439e-14
"ENSG00000186810",3.0114498587427e-18,-4.15068190066874,0.004,0.071,1.63491612831141e-14
"ENSG00000173391",3.51599509017907e-18,-4.4396497967817,0.003,0.069,1.90883373445822e-14
"ENSG00000237512",4.0387637800701e-18,2.3592435465277,0.026,0.004,2.19264485620006e-14
"ENSG00000160613",4.4976115997312e-18,-1.26472869833272,0.177,0.284,2.44175333749407e-14
"ENSG00000147548",4.8435339527362e-18,-1.13352484019275,0.221,0.324,2.62955458294048e-14
"ENSG00000106560",5.06218362791828e-18,-4.02542030370762,0.004,0.07,2.74825949159683e-14
"ENSG00000197061",5.14741970498054e-18,-1.44125167331732,0.122,0.227,2.79453415783394e-14
"ENSG00000159658",5.42023237649093e-18,0.572080395502928,0.211,0.117,2.94264415719692e-14
"ENSG00000186474",5.48643792203623e-18,2.70670673352221,0.017,0.002,2.97858714787347e-14
"ENSG00000012124",7.1610116692267e-18,-4.99026079271208,0.003,0.066,3.88771323522318e-14
"ENSG00000087502",7.59399072993083e-18,0.455769214728686,0.277,0.167,4.12277756727945e-14
"ENSG00000100219",7.76850444929622e-18,0.501388479479546,0.421,0.285,4.21752106552292e-14
"ENSG00000149021",7.80192146197868e-18,-2.41343196022514,0.085,0.184,4.23566316170822e-14
"ENSG00000125538",8.13784785186542e-18,-5.04239878099783,0.011,0.081,4.41803759877774e-14
"ENSG00000146477",8.50871613979109e-18,2.00368847127934,0.035,0.008,4.61938199229258e-14
"ENSG00000115355",9.00558749083732e-18,-1.77380460323392,0.053,0.143,4.88913344877558e-14
